print meta info for videos/4513020-hd_1366_720_24fps.mp4:
  duration time: 13.21 秒
  file size: 3.18 MB
  frame rate: 24.00 fps
  decoder: H.264 / AVC / MPEG-4 AVC / MPEG-4 part 10

帧类型与大小统计:
frame #1: size before decode=1937 bytes, size after decode=2027520 bytes, type=I, timestamp=0.000 seconds
frame #2: size before decode=1406 bytes, size after decode=2027520 bytes, type=B, timestamp=0.042 seconds
frame #3: size before decode=683 bytes, size after decode=2027520 bytes, type=B, timestamp=0.083 seconds
frame #4: size before decode=16314 bytes, size after decode=2027520 bytes, type=B, timestamp=0.125 seconds
frame #5: size before decode=6243 bytes, size after decode=2027520 bytes, type=P, timestamp=0.167 seconds
frame #6: size before decode=2983 bytes, size after decode=2027520 bytes, type=B, timestamp=0.208 seconds
frame #7: size before decode=4823 bytes, size after decode=2027520 bytes, type=B, timestamp=0.250 seconds
frame #8: size before decode=17627 bytes, size after decode=2027520 bytes, type=B, timestamp=0.292 seconds
frame #9: size before decode=8377 bytes, size after decode=2027520 bytes, type=P, timestamp=0.333 seconds
frame #10: size before decode=8890 bytes, size after decode=2027520 bytes, type=B, timestamp=0.375 seconds
frame #11: size before decode=19633 bytes, size after decode=2027520 bytes, type=B, timestamp=0.417 seconds
frame #12: size before decode=11980 bytes, size after decode=2027520 bytes, type=P, timestamp=0.458 seconds
frame #13: size before decode=10614 bytes, size after decode=2027520 bytes, type=B, timestamp=0.500 seconds
frame #14: size before decode=10460 bytes, size after decode=2027520 bytes, type=B, timestamp=0.542 seconds
frame #15: size before decode=19868 bytes, size after decode=2027520 bytes, type=B, timestamp=0.583 seconds
frame #16: size before decode=11031 bytes, size after decode=2027520 bytes, type=P, timestamp=0.625 seconds
frame #17: size before decode=10273 bytes, size after decode=2027520 bytes, type=B, timestamp=0.667 seconds
frame #18: size before decode=18387 bytes, size after decode=2027520 bytes, type=B, timestamp=0.708 seconds
frame #19: size before decode=12310 bytes, size after decode=2027520 bytes, type=P, timestamp=0.750 seconds
frame #20: size before decode=11648 bytes, size after decode=2027520 bytes, type=B, timestamp=0.792 seconds
frame #21: size before decode=20007 bytes, size after decode=2027520 bytes, type=B, timestamp=0.833 seconds
frame #22: size before decode=13632 bytes, size after decode=2027520 bytes, type=P, timestamp=0.875 seconds
frame #23: size before decode=11789 bytes, size after decode=2027520 bytes, type=B, timestamp=0.917 seconds
frame #24: size before decode=11515 bytes, size after decode=2027520 bytes, type=B, timestamp=0.958 seconds
frame #25: size before decode=25185 bytes, size after decode=2027520 bytes, type=B, timestamp=1.000 seconds
frame #26: size before decode=11979 bytes, size after decode=2027520 bytes, type=P, timestamp=1.042 seconds
frame #27: size before decode=10947 bytes, size after decode=2027520 bytes, type=B, timestamp=1.083 seconds
frame #28: size before decode=10842 bytes, size after decode=2027520 bytes, type=B, timestamp=1.125 seconds
frame #29: size before decode=24414 bytes, size after decode=2027520 bytes, type=B, timestamp=1.167 seconds
frame #30: size before decode=13873 bytes, size after decode=2027520 bytes, type=P, timestamp=1.208 seconds
frame #31: size before decode=12008 bytes, size after decode=2027520 bytes, type=B, timestamp=1.250 seconds
frame #32: size before decode=11704 bytes, size after decode=2027520 bytes, type=B, timestamp=1.292 seconds
frame #33: size before decode=26564 bytes, size after decode=2027520 bytes, type=B, timestamp=1.333 seconds
frame #34: size before decode=11966 bytes, size after decode=2027520 bytes, type=P, timestamp=1.375 seconds
frame #35: size before decode=10977 bytes, size after decode=2027520 bytes, type=B, timestamp=1.417 seconds
frame #36: size before decode=11239 bytes, size after decode=2027520 bytes, type=B, timestamp=1.458 seconds
frame #37: size before decode=22392 bytes, size after decode=2027520 bytes, type=B, timestamp=1.500 seconds
frame #38: size before decode=14953 bytes, size after decode=2027520 bytes, type=P, timestamp=1.542 seconds
frame #39: size before decode=12665 bytes, size after decode=2027520 bytes, type=B, timestamp=1.583 seconds
frame #40: size before decode=13003 bytes, size after decode=2027520 bytes, type=B, timestamp=1.625 seconds
frame #41: size before decode=24010 bytes, size after decode=2027520 bytes, type=B, timestamp=1.667 seconds
frame #42: size before decode=14890 bytes, size after decode=2027520 bytes, type=P, timestamp=1.708 seconds
frame #43: size before decode=13156 bytes, size after decode=2027520 bytes, type=B, timestamp=1.750 seconds
frame #44: size before decode=12850 bytes, size after decode=2027520 bytes, type=B, timestamp=1.792 seconds
frame #45: size before decode=23464 bytes, size after decode=2027520 bytes, type=B, timestamp=1.833 seconds
frame #46: size before decode=14987 bytes, size after decode=2027520 bytes, type=P, timestamp=1.875 seconds
frame #47: size before decode=12139 bytes, size after decode=2027520 bytes, type=B, timestamp=1.917 seconds
frame #48: size before decode=12197 bytes, size after decode=2027520 bytes, type=B, timestamp=1.958 seconds
frame #49: size before decode=25094 bytes, size after decode=2027520 bytes, type=B, timestamp=2.000 seconds
frame #50: size before decode=13969 bytes, size after decode=2027520 bytes, type=P, timestamp=2.042 seconds
frame #51: size before decode=12456 bytes, size after decode=2027520 bytes, type=B, timestamp=2.083 seconds
frame #52: size before decode=12726 bytes, size after decode=2027520 bytes, type=B, timestamp=2.125 seconds
frame #53: size before decode=25762 bytes, size after decode=2027520 bytes, type=B, timestamp=2.167 seconds
frame #54: size before decode=14895 bytes, size after decode=2027520 bytes, type=P, timestamp=2.208 seconds
frame #55: size before decode=12841 bytes, size after decode=2027520 bytes, type=B, timestamp=2.250 seconds
frame #56: size before decode=12942 bytes, size after decode=2027520 bytes, type=B, timestamp=2.292 seconds
frame #57: size before decode=23627 bytes, size after decode=2027520 bytes, type=B, timestamp=2.333 seconds
frame #58: size before decode=14157 bytes, size after decode=2027520 bytes, type=P, timestamp=2.375 seconds
frame #59: size before decode=13092 bytes, size after decode=2027520 bytes, type=B, timestamp=2.417 seconds
frame #60: size before decode=26456 bytes, size after decode=2027520 bytes, type=B, timestamp=2.458 seconds
frame #61: size before decode=15697 bytes, size after decode=2027520 bytes, type=P, timestamp=2.500 seconds
frame #62: size before decode=12955 bytes, size after decode=2027520 bytes, type=B, timestamp=2.542 seconds
frame #63: size before decode=13923 bytes, size after decode=2027520 bytes, type=B, timestamp=2.583 seconds
frame #64: size before decode=29391 bytes, size after decode=2027520 bytes, type=B, timestamp=2.625 seconds
frame #65: size before decode=16874 bytes, size after decode=2027520 bytes, type=P, timestamp=2.667 seconds
frame #66: size before decode=14365 bytes, size after decode=2027520 bytes, type=B, timestamp=2.708 seconds
frame #67: size before decode=14842 bytes, size after decode=2027520 bytes, type=B, timestamp=2.750 seconds
frame #68: size before decode=28593 bytes, size after decode=2027520 bytes, type=B, timestamp=2.792 seconds
frame #69: size before decode=17253 bytes, size after decode=2027520 bytes, type=P, timestamp=2.833 seconds
frame #70: size before decode=14671 bytes, size after decode=2027520 bytes, type=B, timestamp=2.875 seconds
frame #71: size before decode=14852 bytes, size after decode=2027520 bytes, type=B, timestamp=2.917 seconds
frame #72: size before decode=91949 bytes, size after decode=2027520 bytes, type=B, timestamp=2.958 seconds
frame #73: size before decode=29274 bytes, size after decode=2027520 bytes, type=P, timestamp=3.000 seconds
frame #74: size before decode=17778 bytes, size after decode=2027520 bytes, type=I, timestamp=3.042 seconds
frame #75: size before decode=15400 bytes, size after decode=2027520 bytes, type=B, timestamp=3.083 seconds
frame #76: size before decode=15490 bytes, size after decode=2027520 bytes, type=B, timestamp=3.125 seconds
frame #77: size before decode=30813 bytes, size after decode=2027520 bytes, type=B, timestamp=3.167 seconds
frame #78: size before decode=17031 bytes, size after decode=2027520 bytes, type=P, timestamp=3.208 seconds
frame #79: size before decode=15212 bytes, size after decode=2027520 bytes, type=B, timestamp=3.250 seconds
frame #80: size before decode=15189 bytes, size after decode=2027520 bytes, type=B, timestamp=3.292 seconds
frame #81: size before decode=31736 bytes, size after decode=2027520 bytes, type=B, timestamp=3.333 seconds
frame #82: size before decode=16441 bytes, size after decode=2027520 bytes, type=P, timestamp=3.375 seconds
frame #83: size before decode=14823 bytes, size after decode=2027520 bytes, type=B, timestamp=3.417 seconds
frame #84: size before decode=15168 bytes, size after decode=2027520 bytes, type=B, timestamp=3.458 seconds
frame #85: size before decode=29229 bytes, size after decode=2027520 bytes, type=B, timestamp=3.500 seconds
frame #86: size before decode=16091 bytes, size after decode=2027520 bytes, type=P, timestamp=3.542 seconds
frame #87: size before decode=14621 bytes, size after decode=2027520 bytes, type=B, timestamp=3.583 seconds
frame #88: size before decode=14961 bytes, size after decode=2027520 bytes, type=B, timestamp=3.625 seconds
frame #89: size before decode=29370 bytes, size after decode=2027520 bytes, type=B, timestamp=3.667 seconds
frame #90: size before decode=16531 bytes, size after decode=2027520 bytes, type=P, timestamp=3.708 seconds
frame #91: size before decode=14442 bytes, size after decode=2027520 bytes, type=B, timestamp=3.750 seconds
frame #92: size before decode=15109 bytes, size after decode=2027520 bytes, type=B, timestamp=3.792 seconds
frame #93: size before decode=27352 bytes, size after decode=2027520 bytes, type=B, timestamp=3.833 seconds
frame #94: size before decode=16364 bytes, size after decode=2027520 bytes, type=P, timestamp=3.875 seconds
frame #95: size before decode=14551 bytes, size after decode=2027520 bytes, type=B, timestamp=3.917 seconds
frame #96: size before decode=14856 bytes, size after decode=2027520 bytes, type=B, timestamp=3.958 seconds
frame #97: size before decode=24386 bytes, size after decode=2027520 bytes, type=B, timestamp=4.000 seconds
