print meta info for videos/13846523_2160_3840_30fps.mp4:
  duration time: 13.58 秒
  file size: 54.84 MB
  frame rate: 29.98 fps
  decoder: H.264 / AVC / MPEG-4 AVC / MPEG-4 part 10

帧类型与大小统计:
frame #1: size before decode=69332 bytes, size after decode=16711680 bytes, type=I, timestamp=0.000 seconds
frame #2: size before decode=34595 bytes, size after decode=16711680 bytes, type=B, timestamp=0.033 seconds
frame #3: size before decode=27101 bytes, size after decode=16711680 bytes, type=B, timestamp=0.067 seconds
frame #4: size before decode=374969 bytes, size after decode=16711680 bytes, type=B, timestamp=0.100 seconds
frame #5: size before decode=91968 bytes, size after decode=16711680 bytes, type=P, timestamp=0.133 seconds
frame #6: size before decode=37169 bytes, size after decode=16711680 bytes, type=B, timestamp=0.167 seconds
frame #7: size before decode=23070 bytes, size after decode=16711680 bytes, type=B, timestamp=0.200 seconds
frame #8: size before decode=388388 bytes, size after decode=16711680 bytes, type=B, timestamp=0.234 seconds
frame #9: size before decode=83641 bytes, size after decode=16711680 bytes, type=P, timestamp=0.267 seconds
frame #10: size before decode=32375 bytes, size after decode=16711680 bytes, type=B, timestamp=0.300 seconds
frame #11: size before decode=24399 bytes, size after decode=16711680 bytes, type=B, timestamp=0.334 seconds
frame #12: size before decode=398727 bytes, size after decode=16711680 bytes, type=B, timestamp=0.367 seconds
frame #13: size before decode=78075 bytes, size after decode=16711680 bytes, type=P, timestamp=0.400 seconds
frame #14: size before decode=29693 bytes, size after decode=16711680 bytes, type=B, timestamp=0.434 seconds
frame #15: size before decode=23440 bytes, size after decode=16711680 bytes, type=B, timestamp=0.467 seconds
frame #16: size before decode=448286 bytes, size after decode=16711680 bytes, type=B, timestamp=0.500 seconds
frame #17: size before decode=73228 bytes, size after decode=16711680 bytes, type=P, timestamp=0.534 seconds
frame #18: size before decode=32762 bytes, size after decode=16711680 bytes, type=B, timestamp=0.567 seconds
frame #19: size before decode=24293 bytes, size after decode=16711680 bytes, type=B, timestamp=0.600 seconds
frame #20: size before decode=376738 bytes, size after decode=16711680 bytes, type=B, timestamp=0.634 seconds
frame #21: size before decode=63497 bytes, size after decode=16711680 bytes, type=P, timestamp=0.667 seconds
frame #22: size before decode=28835 bytes, size after decode=16711680 bytes, type=B, timestamp=0.701 seconds
frame #23: size before decode=22608 bytes, size after decode=16711680 bytes, type=B, timestamp=0.734 seconds
frame #24: size before decode=364873 bytes, size after decode=16711680 bytes, type=B, timestamp=0.767 seconds
frame #25: size before decode=52316 bytes, size after decode=16711680 bytes, type=P, timestamp=0.801 seconds
frame #26: size before decode=21977 bytes, size after decode=16711680 bytes, type=B, timestamp=0.834 seconds
frame #27: size before decode=23318 bytes, size after decode=16711680 bytes, type=B, timestamp=0.867 seconds
frame #28: size before decode=515559 bytes, size after decode=16711680 bytes, type=B, timestamp=0.901 seconds
frame #29: size before decode=54559 bytes, size after decode=16711680 bytes, type=P, timestamp=0.934 seconds
frame #30: size before decode=36419 bytes, size after decode=16711680 bytes, type=B, timestamp=0.967 seconds
frame #31: size before decode=29030 bytes, size after decode=16711680 bytes, type=B, timestamp=1.001 seconds
frame #32: size before decode=431198 bytes, size after decode=16711680 bytes, type=B, timestamp=1.034 seconds
frame #33: size before decode=49262 bytes, size after decode=16711680 bytes, type=P, timestamp=1.067 seconds
frame #34: size before decode=33608 bytes, size after decode=16711680 bytes, type=B, timestamp=1.101 seconds
frame #35: size before decode=33261 bytes, size after decode=16711680 bytes, type=B, timestamp=1.134 seconds
frame #36: size before decode=383144 bytes, size after decode=16711680 bytes, type=B, timestamp=1.168 seconds
frame #37: size before decode=49069 bytes, size after decode=16711680 bytes, type=P, timestamp=1.201 seconds
frame #38: size before decode=31885 bytes, size after decode=16711680 bytes, type=B, timestamp=1.234 seconds
frame #39: size before decode=30393 bytes, size after decode=16711680 bytes, type=B, timestamp=1.268 seconds
frame #40: size before decode=347328 bytes, size after decode=16711680 bytes, type=B, timestamp=1.301 seconds
frame #41: size before decode=44932 bytes, size after decode=16711680 bytes, type=P, timestamp=1.334 seconds
frame #42: size before decode=30587 bytes, size after decode=16711680 bytes, type=B, timestamp=1.368 seconds
frame #43: size before decode=28308 bytes, size after decode=16711680 bytes, type=B, timestamp=1.401 seconds
frame #44: size before decode=309092 bytes, size after decode=16711680 bytes, type=B, timestamp=1.434 seconds
frame #45: size before decode=41056 bytes, size after decode=16711680 bytes, type=P, timestamp=1.468 seconds
frame #46: size before decode=32047 bytes, size after decode=16711680 bytes, type=B, timestamp=1.501 seconds
frame #47: size before decode=24285 bytes, size after decode=16711680 bytes, type=B, timestamp=1.534 seconds
frame #48: size before decode=296902 bytes, size after decode=16711680 bytes, type=B, timestamp=1.568 seconds
frame #49: size before decode=39010 bytes, size after decode=16711680 bytes, type=P, timestamp=1.601 seconds
frame #50: size before decode=30866 bytes, size after decode=16711680 bytes, type=B, timestamp=1.635 seconds
frame #51: size before decode=25113 bytes, size after decode=16711680 bytes, type=B, timestamp=1.668 seconds
frame #52: size before decode=375392 bytes, size after decode=16711680 bytes, type=B, timestamp=1.701 seconds
frame #53: size before decode=42412 bytes, size after decode=16711680 bytes, type=P, timestamp=1.735 seconds
frame #54: size before decode=33259 bytes, size after decode=16711680 bytes, type=B, timestamp=1.768 seconds
frame #55: size before decode=25851 bytes, size after decode=16711680 bytes, type=B, timestamp=1.801 seconds
frame #56: size before decode=740480 bytes, size after decode=16711680 bytes, type=B, timestamp=1.835 seconds
frame #57: size before decode=58062 bytes, size after decode=16711680 bytes, type=P, timestamp=1.868 seconds
frame #58: size before decode=34189 bytes, size after decode=16711680 bytes, type=B, timestamp=1.901 seconds
frame #59: size before decode=18288 bytes, size after decode=16711680 bytes, type=B, timestamp=1.935 seconds
frame #60: size before decode=366641 bytes, size after decode=16711680 bytes, type=B, timestamp=1.968 seconds
frame #61: size before decode=47415 bytes, size after decode=16711680 bytes, type=P, timestamp=2.001 seconds
frame #62: size before decode=18635 bytes, size after decode=16711680 bytes, type=B, timestamp=2.035 seconds
frame #63: size before decode=18472 bytes, size after decode=16711680 bytes, type=B, timestamp=2.068 seconds
frame #64: size before decode=413952 bytes, size after decode=16711680 bytes, type=B, timestamp=2.102 seconds
frame #65: size before decode=57043 bytes, size after decode=16711680 bytes, type=P, timestamp=2.135 seconds
frame #66: size before decode=20046 bytes, size after decode=16711680 bytes, type=B, timestamp=2.168 seconds
frame #67: size before decode=17682 bytes, size after decode=16711680 bytes, type=B, timestamp=2.202 seconds
frame #68: size before decode=381798 bytes, size after decode=16711680 bytes, type=B, timestamp=2.235 seconds
frame #69: size before decode=48881 bytes, size after decode=16711680 bytes, type=P, timestamp=2.268 seconds
frame #70: size before decode=17300 bytes, size after decode=16711680 bytes, type=B, timestamp=2.302 seconds
frame #71: size before decode=16693 bytes, size after decode=16711680 bytes, type=B, timestamp=2.335 seconds
frame #72: size before decode=349583 bytes, size after decode=16711680 bytes, type=B, timestamp=2.368 seconds
frame #73: size before decode=47987 bytes, size after decode=16711680 bytes, type=P, timestamp=2.402 seconds
