print meta info for videos/SampleVideo_720x480_10mb.mkv:
  duration time: 69.68 秒
  file size: 10.08 MB
  frame rate: 25.00 fps
  decoder: MPEG-4 part 2

帧类型与大小统计:
frame #67: size before decode=3148 bytes, size after decode=737280 bytes, type=P, timestamp=1.240 seconds
frame #68: size before decode=1105 bytes, size after decode=737280 bytes, type=P, timestamp=1.280 seconds
frame #69: size before decode=8049 bytes, size after decode=737280 bytes, type=P, timestamp=1.320 seconds
frame #70: size before decode=680 bytes, size after decode=737280 bytes, type=P, timestamp=1.360 seconds
frame #71: size before decode=1152 bytes, size after decode=737280 bytes, type=P, timestamp=1.400 seconds
frame #72: size before decode=3019 bytes, size after decode=737280 bytes, type=P, timestamp=1.440 seconds
frame #73: size before decode=1624 bytes, size after decode=737280 bytes, type=P, timestamp=1.480 seconds
frame #74: size before decode=2848 bytes, size after decode=737280 bytes, type=P, timestamp=1.520 seconds
frame #75: size before decode=1730 bytes, size after decode=737280 bytes, type=P, timestamp=1.560 seconds
frame #76: size before decode=3209 bytes, size after decode=737280 bytes, type=P, timestamp=1.600 seconds
frame #77: size before decode=1696 bytes, size after decode=737280 bytes, type=P, timestamp=1.640 seconds
frame #78: size before decode=2459 bytes, size after decode=737280 bytes, type=P, timestamp=1.680 seconds
frame #79: size before decode=2327 bytes, size after decode=737280 bytes, type=P, timestamp=1.720 seconds
frame #80: size before decode=2628 bytes, size after decode=737280 bytes, type=P, timestamp=1.760 seconds
frame #81: size before decode=2399 bytes, size after decode=737280 bytes, type=P, timestamp=1.800 seconds
frame #82: size before decode=3195 bytes, size after decode=737280 bytes, type=P, timestamp=1.840 seconds
frame #83: size before decode=3477 bytes, size after decode=737280 bytes, type=P, timestamp=1.880 seconds
frame #84: size before decode=3502 bytes, size after decode=737280 bytes, type=P, timestamp=1.920 seconds
frame #85: size before decode=3061 bytes, size after decode=737280 bytes, type=P, timestamp=1.960 seconds
frame #86: size before decode=1519 bytes, size after decode=737280 bytes, type=P, timestamp=2.000 seconds
frame #87: size before decode=3914 bytes, size after decode=737280 bytes, type=P, timestamp=2.040 seconds
frame #88: size before decode=3479 bytes, size after decode=737280 bytes, type=P, timestamp=2.080 seconds
frame #89: size before decode=3549 bytes, size after decode=737280 bytes, type=P, timestamp=2.120 seconds
frame #90: size before decode=3309 bytes, size after decode=737280 bytes, type=P, timestamp=2.160 seconds
frame #91: size before decode=3076 bytes, size after decode=737280 bytes, type=P, timestamp=2.200 seconds
frame #92: size before decode=4329 bytes, size after decode=737280 bytes, type=P, timestamp=2.240 seconds
frame #93: size before decode=1816 bytes, size after decode=737280 bytes, type=P, timestamp=2.280 seconds
frame #94: size before decode=3322 bytes, size after decode=737280 bytes, type=P, timestamp=2.320 seconds
frame #95: size before decode=3403 bytes, size after decode=737280 bytes, type=P, timestamp=2.360 seconds
frame #96: size before decode=1185 bytes, size after decode=737280 bytes, type=P, timestamp=2.400 seconds
frame #97: size before decode=3618 bytes, size after decode=737280 bytes, type=P, timestamp=2.440 seconds
frame #98: size before decode=2855 bytes, size after decode=737280 bytes, type=P, timestamp=2.480 seconds
frame #99: size before decode=2743 bytes, size after decode=737280 bytes, type=P, timestamp=2.520 seconds
frame #100: size before decode=3458 bytes, size after decode=737280 bytes, type=P, timestamp=2.560 seconds
frame #101: size before decode=1390 bytes, size after decode=737280 bytes, type=P, timestamp=2.600 seconds
frame #102: size before decode=3210 bytes, size after decode=737280 bytes, type=P, timestamp=2.640 seconds
frame #103: size before decode=3292 bytes, size after decode=737280 bytes, type=P, timestamp=2.680 seconds
frame #104: size before decode=3453 bytes, size after decode=737280 bytes, type=P, timestamp=2.720 seconds
frame #105: size before decode=1861 bytes, size after decode=737280 bytes, type=P, timestamp=2.760 seconds
frame #106: size before decode=2512 bytes, size after decode=737280 bytes, type=P, timestamp=2.800 seconds
frame #107: size before decode=3759 bytes, size after decode=737280 bytes, type=P, timestamp=2.840 seconds
frame #108: size before decode=3333 bytes, size after decode=737280 bytes, type=P, timestamp=2.880 seconds
frame #109: size before decode=3540 bytes, size after decode=737280 bytes, type=P, timestamp=2.920 seconds
frame #110: size before decode=3732 bytes, size after decode=737280 bytes, type=P, timestamp=2.960 seconds
frame #111: size before decode=1357 bytes, size after decode=737280 bytes, type=P, timestamp=3.000 seconds
frame #112: size before decode=3873 bytes, size after decode=737280 bytes, type=P, timestamp=3.040 seconds
frame #113: size before decode=4179 bytes, size after decode=737280 bytes, type=P, timestamp=3.080 seconds
frame #114: size before decode=4296 bytes, size after decode=737280 bytes, type=P, timestamp=3.120 seconds
frame #115: size before decode=3790 bytes, size after decode=737280 bytes, type=P, timestamp=3.160 seconds
frame #116: size before decode=3825 bytes, size after decode=737280 bytes, type=P, timestamp=3.200 seconds
frame #117: size before decode=2911 bytes, size after decode=737280 bytes, type=P, timestamp=3.240 seconds
frame #118: size before decode=5108 bytes, size after decode=737280 bytes, type=P, timestamp=3.280 seconds
frame #119: size before decode=3666 bytes, size after decode=737280 bytes, type=P, timestamp=3.320 seconds
frame #120: size before decode=1898 bytes, size after decode=737280 bytes, type=P, timestamp=3.360 seconds
frame #121: size before decode=3626 bytes, size after decode=737280 bytes, type=P, timestamp=3.400 seconds
frame #122: size before decode=3571 bytes, size after decode=737280 bytes, type=P, timestamp=3.440 seconds
frame #123: size before decode=2937 bytes, size after decode=737280 bytes, type=P, timestamp=3.480 seconds
frame #124: size before decode=3821 bytes, size after decode=737280 bytes, type=P, timestamp=3.520 seconds
frame #125: size before decode=1826 bytes, size after decode=737280 bytes, type=P, timestamp=3.560 seconds
frame #126: size before decode=3609 bytes, size after decode=737280 bytes, type=P, timestamp=3.600 seconds
frame #127: size before decode=1714 bytes, size after decode=737280 bytes, type=P, timestamp=3.640 seconds
frame #128: size before decode=8027 bytes, size after decode=737280 bytes, type=P, timestamp=3.680 seconds
frame #129: size before decode=1250 bytes, size after decode=737280 bytes, type=P, timestamp=3.720 seconds
frame #130: size before decode=1741 bytes, size after decode=737280 bytes, type=P, timestamp=3.760 seconds
frame #131: size before decode=5402 bytes, size after decode=737280 bytes, type=P, timestamp=3.800 seconds
frame #132: size before decode=2812 bytes, size after decode=737280 bytes, type=P, timestamp=3.840 seconds
frame #133: size before decode=1864 bytes, size after decode=737280 bytes, type=P, timestamp=3.880 seconds
frame #134: size before decode=3799 bytes, size after decode=737280 bytes, type=P, timestamp=3.920 seconds
frame #135: size before decode=3735 bytes, size after decode=737280 bytes, type=P, timestamp=3.960 seconds
frame #136: size before decode=726 bytes, size after decode=737280 bytes, type=P, timestamp=4.000 seconds
frame #137: size before decode=8375 bytes, size after decode=737280 bytes, type=P, timestamp=4.040 seconds
frame #138: size before decode=2625 bytes, size after decode=737280 bytes, type=P, timestamp=4.080 seconds
frame #139: size before decode=3497 bytes, size after decode=737280 bytes, type=P, timestamp=4.120 seconds
frame #140: size before decode=4005 bytes, size after decode=737280 bytes, type=P, timestamp=4.160 seconds
frame #141: size before decode=3787 bytes, size after decode=737280 bytes, type=P, timestamp=4.200 seconds
frame #142: size before decode=4262 bytes, size after decode=737280 bytes, type=P, timestamp=4.240 seconds
frame #143: size before decode=4311 bytes, size after decode=737280 bytes, type=P, timestamp=4.280 seconds
frame #144: size before decode=4035 bytes, size after decode=737280 bytes, type=P, timestamp=4.320 seconds
frame #145: size before decode=4119 bytes, size after decode=737280 bytes, type=P, timestamp=4.360 seconds
frame #146: size before decode=4279 bytes, size after decode=737280 bytes, type=P, timestamp=4.400 seconds
frame #147: size before decode=3372 bytes, size after decode=737280 bytes, type=P, timestamp=4.440 seconds
frame #148: size before decode=3852 bytes, size after decode=737280 bytes, type=P, timestamp=4.480 seconds
frame #149: size before decode=3928 bytes, size after decode=737280 bytes, type=P, timestamp=4.520 seconds
frame #150: size before decode=5314 bytes, size after decode=737280 bytes, type=P, timestamp=4.560 seconds
frame #151: size before decode=3160 bytes, size after decode=737280 bytes, type=P, timestamp=4.600 seconds
frame #152: size before decode=3662 bytes, size after decode=737280 bytes, type=P, timestamp=4.640 seconds
frame #153: size before decode=4223 bytes, size after decode=737280 bytes, type=P, timestamp=4.680 seconds
frame #154: size before decode=3046 bytes, size after decode=737280 bytes, type=P, timestamp=4.720 seconds
frame #155: size before decode=5987 bytes, size after decode=737280 bytes, type=P, timestamp=4.760 seconds
frame #156: size before decode=3410 bytes, size after decode=737280 bytes, type=P, timestamp=4.800 seconds
frame #157: size before decode=3626 bytes, size after decode=737280 bytes, type=P, timestamp=4.840 seconds
frame #158: size before decode=4081 bytes, size after decode=737280 bytes, type=P, timestamp=4.880 seconds
frame #159: size before decode=3872 bytes, size after decode=737280 bytes, type=P, timestamp=4.920 seconds
frame #160: size before decode=4098 bytes, size after decode=737280 bytes, type=P, timestamp=4.960 seconds
frame #161: size before decode=3056 bytes, size after decode=737280 bytes, type=P, timestamp=5.000 seconds
frame #162: size before decode=3705 bytes, size after decode=737280 bytes, type=P, timestamp=5.040 seconds
frame #163: size before decode=4051 bytes, size after decode=737280 bytes, type=P, timestamp=5.080 seconds
frame #164: size before decode=4456 bytes, size after decode=737280 bytes, type=P, timestamp=5.120 seconds
frame #165: size before decode=4442 bytes, size after decode=737280 bytes, type=P, timestamp=5.160 seconds
frame #166: size before decode=4568 bytes, size after decode=737280 bytes, type=P, timestamp=5.200 seconds
frame #167: size before decode=4358 bytes, size after decode=737280 bytes, type=P, timestamp=5.240 seconds
frame #168: size before decode=4760 bytes, size after decode=737280 bytes, type=P, timestamp=5.280 seconds
frame #169: size before decode=3749 bytes, size after decode=737280 bytes, type=P, timestamp=5.320 seconds
frame #170: size before decode=4427 bytes, size after decode=737280 bytes, type=P, timestamp=5.360 seconds
frame #171: size before decode=4339 bytes, size after decode=737280 bytes, type=P, timestamp=5.400 seconds
frame #172: size before decode=4155 bytes, size after decode=737280 bytes, type=P, timestamp=5.440 seconds
frame #173: size before decode=4165 bytes, size after decode=737280 bytes, type=P, timestamp=5.480 seconds
frame #174: size before decode=4604 bytes, size after decode=737280 bytes, type=P, timestamp=5.520 seconds
frame #175: size before decode=3607 bytes, size after decode=737280 bytes, type=P, timestamp=5.560 seconds
frame #176: size before decode=4223 bytes, size after decode=737280 bytes, type=P, timestamp=5.600 seconds
frame #177: size before decode=4305 bytes, size after decode=737280 bytes, type=P, timestamp=5.640 seconds
frame #178: size before decode=4244 bytes, size after decode=737280 bytes, type=P, timestamp=5.680 seconds
frame #179: size before decode=3266 bytes, size after decode=737280 bytes, type=P, timestamp=5.720 seconds
frame #180: size before decode=4004 bytes, size after decode=737280 bytes, type=P, timestamp=5.760 seconds
frame #181: size before decode=4097 bytes, size after decode=737280 bytes, type=P, timestamp=5.800 seconds
frame #182: size before decode=3518 bytes, size after decode=737280 bytes, type=P, timestamp=5.840 seconds
frame #183: size before decode=3698 bytes, size after decode=737280 bytes, type=P, timestamp=5.880 seconds
frame #184: size before decode=3554 bytes, size after decode=737280 bytes, type=P, timestamp=5.920 seconds
frame #185: size before decode=6102 bytes, size after decode=737280 bytes, type=P, timestamp=5.960 seconds
frame #186: size before decode=1398 bytes, size after decode=737280 bytes, type=P, timestamp=6.000 seconds
frame #187: size before decode=4082 bytes, size after decode=737280 bytes, type=P, timestamp=6.040 seconds
frame #188: size before decode=3554 bytes, size after decode=737280 bytes, type=P, timestamp=6.080 seconds
frame #189: size before decode=14456 bytes, size after decode=737280 bytes, type=P, timestamp=6.120 seconds
frame #190: size before decode=944 bytes, size after decode=737280 bytes, type=P, timestamp=6.160 seconds
frame #191: size before decode=3808 bytes, size after decode=737280 bytes, type=P, timestamp=6.200 seconds
frame #192: size before decode=2136 bytes, size after decode=737280 bytes, type=P, timestamp=6.240 seconds
frame #193: size before decode=1120 bytes, size after decode=737280 bytes, type=P, timestamp=6.280 seconds
frame #194: size before decode=1934 bytes, size after decode=737280 bytes, type=P, timestamp=6.320 seconds
frame #195: size before decode=1249 bytes, size after decode=737280 bytes, type=P, timestamp=6.360 seconds
frame #196: size before decode=6333 bytes, size after decode=737280 bytes, type=P, timestamp=6.400 seconds
frame #197: size before decode=439 bytes, size after decode=737280 bytes, type=P, timestamp=6.440 seconds
frame #198: size before decode=556 bytes, size after decode=737280 bytes, type=P, timestamp=6.480 seconds
frame #199: size before decode=2503 bytes, size after decode=737280 bytes, type=P, timestamp=6.520 seconds
frame #200: size before decode=573 bytes, size after decode=737280 bytes, type=P, timestamp=6.560 seconds
frame #201: size before decode=649 bytes, size after decode=737280 bytes, type=P, timestamp=6.600 seconds
frame #202: size before decode=781 bytes, size after decode=737280 bytes, type=P, timestamp=6.640 seconds
frame #203: size before decode=970 bytes, size after decode=737280 bytes, type=P, timestamp=6.680 seconds
frame #204: size before decode=1102 bytes, size after decode=737280 bytes, type=P, timestamp=6.720 seconds
frame #205: size before decode=1256 bytes, size after decode=737280 bytes, type=P, timestamp=6.760 seconds
frame #206: size before decode=1258 bytes, size after decode=737280 bytes, type=P, timestamp=6.800 seconds
frame #207: size before decode=1329 bytes, size after decode=737280 bytes, type=P, timestamp=6.840 seconds
frame #208: size before decode=1432 bytes, size after decode=737280 bytes, type=P, timestamp=6.880 seconds
frame #209: size before decode=1414 bytes, size after decode=737280 bytes, type=P, timestamp=6.920 seconds
frame #210: size before decode=1224 bytes, size after decode=737280 bytes, type=P, timestamp=6.960 seconds
