print meta info for videos/13704981_3840_2160_24fps.mp4:
  duration time: 10.84 秒
  file size: 16.35 MB
  frame rate: 23.98 fps
  decoder: H.264 / AVC / MPEG-4 AVC / MPEG-4 part 10

帧类型与大小统计:
frame #1: size before decode=24069 bytes, size after decode=16588800 bytes, type=I, timestamp=0.000 seconds
frame #2: size before decode=114394 bytes, size after decode=16588800 bytes, type=B, timestamp=0.042 seconds
frame #3: size before decode=25783 bytes, size after decode=16588800 bytes, type=P, timestamp=0.083 seconds
frame #4: size before decode=203437 bytes, size after decode=16588800 bytes, type=B, timestamp=0.125 seconds
frame #5: size before decode=43618 bytes, size after decode=16588800 bytes, type=P, timestamp=0.167 seconds
frame #6: size before decode=192066 bytes, size after decode=16588800 bytes, type=B, timestamp=0.209 seconds
frame #7: size before decode=63209 bytes, size after decode=16588800 bytes, type=P, timestamp=0.250 seconds
frame #8: size before decode=51001 bytes, size after decode=16588800 bytes, type=B, timestamp=0.292 seconds
frame #9: size before decode=26494 bytes, size after decode=16588800 bytes, type=B, timestamp=0.334 seconds
frame #10: size before decode=166402 bytes, size after decode=16588800 bytes, type=B, timestamp=0.375 seconds
frame #11: size before decode=54517 bytes, size after decode=16588800 bytes, type=P, timestamp=0.417 seconds
frame #12: size before decode=45116 bytes, size after decode=16588800 bytes, type=B, timestamp=0.459 seconds
frame #13: size before decode=33521 bytes, size after decode=16588800 bytes, type=B, timestamp=0.500 seconds
frame #14: size before decode=154688 bytes, size after decode=16588800 bytes, type=B, timestamp=0.542 seconds
frame #15: size before decode=47713 bytes, size after decode=16588800 bytes, type=P, timestamp=0.584 seconds
frame #16: size before decode=29969 bytes, size after decode=16588800 bytes, type=B, timestamp=0.626 seconds
frame #17: size before decode=31547 bytes, size after decode=16588800 bytes, type=B, timestamp=0.667 seconds
frame #18: size before decode=142551 bytes, size after decode=16588800 bytes, type=B, timestamp=0.709 seconds
frame #19: size before decode=47036 bytes, size after decode=16588800 bytes, type=P, timestamp=0.751 seconds
frame #20: size before decode=27623 bytes, size after decode=16588800 bytes, type=B, timestamp=0.792 seconds
frame #21: size before decode=28111 bytes, size after decode=16588800 bytes, type=B, timestamp=0.834 seconds
frame #22: size before decode=148274 bytes, size after decode=16588800 bytes, type=B, timestamp=0.876 seconds
frame #23: size before decode=50163 bytes, size after decode=16588800 bytes, type=P, timestamp=0.918 seconds
frame #24: size before decode=29277 bytes, size after decode=16588800 bytes, type=B, timestamp=0.959 seconds
frame #25: size before decode=25489 bytes, size after decode=16588800 bytes, type=B, timestamp=1.001 seconds
frame #26: size before decode=144890 bytes, size after decode=16588800 bytes, type=B, timestamp=1.043 seconds
frame #27: size before decode=45690 bytes, size after decode=16588800 bytes, type=P, timestamp=1.084 seconds
frame #28: size before decode=25213 bytes, size after decode=16588800 bytes, type=B, timestamp=1.126 seconds
frame #29: size before decode=28889 bytes, size after decode=16588800 bytes, type=B, timestamp=1.168 seconds
frame #30: size before decode=150239 bytes, size after decode=16588800 bytes, type=B, timestamp=1.210 seconds
frame #31: size before decode=53670 bytes, size after decode=16588800 bytes, type=P, timestamp=1.251 seconds
frame #32: size before decode=27219 bytes, size after decode=16588800 bytes, type=B, timestamp=1.293 seconds
frame #33: size before decode=28928 bytes, size after decode=16588800 bytes, type=B, timestamp=1.335 seconds
frame #34: size before decode=142343 bytes, size after decode=16588800 bytes, type=B, timestamp=1.376 seconds
frame #35: size before decode=55529 bytes, size after decode=16588800 bytes, type=P, timestamp=1.418 seconds
frame #36: size before decode=34016 bytes, size after decode=16588800 bytes, type=B, timestamp=1.460 seconds
frame #37: size before decode=26956 bytes, size after decode=16588800 bytes, type=B, timestamp=1.502 seconds
frame #38: size before decode=167913 bytes, size after decode=16588800 bytes, type=B, timestamp=1.543 seconds
frame #39: size before decode=52944 bytes, size after decode=16588800 bytes, type=P, timestamp=1.585 seconds
frame #40: size before decode=29538 bytes, size after decode=16588800 bytes, type=B, timestamp=1.627 seconds
frame #41: size before decode=31477 bytes, size after decode=16588800 bytes, type=B, timestamp=1.668 seconds
frame #42: size before decode=149204 bytes, size after decode=16588800 bytes, type=B, timestamp=1.710 seconds
frame #43: size before decode=48212 bytes, size after decode=16588800 bytes, type=P, timestamp=1.752 seconds
frame #44: size before decode=26495 bytes, size after decode=16588800 bytes, type=B, timestamp=1.793 seconds
frame #45: size before decode=32284 bytes, size after decode=16588800 bytes, type=B, timestamp=1.835 seconds
frame #46: size before decode=161928 bytes, size after decode=16588800 bytes, type=B, timestamp=1.877 seconds
frame #47: size before decode=53951 bytes, size after decode=16588800 bytes, type=P, timestamp=1.919 seconds
frame #48: size before decode=33856 bytes, size after decode=16588800 bytes, type=B, timestamp=1.960 seconds
frame #49: size before decode=32702 bytes, size after decode=16588800 bytes, type=B, timestamp=2.002 seconds
frame #50: size before decode=157172 bytes, size after decode=16588800 bytes, type=B, timestamp=2.044 seconds
frame #51: size before decode=46187 bytes, size after decode=16588800 bytes, type=P, timestamp=2.085 seconds
