print meta info for videos/12996639_1920_1080_24fps.mp4:
  duration time: 48.76 秒
  file size: 73.46 MB
  frame rate: 23.98 fps
  decoder: H.264 / AVC / MPEG-4 AVC / MPEG-4 part 10

帧类型与大小统计:
frame #1: size before decode=33599 bytes, size after decode=4147200 bytes, type=I, timestamp=0.000 seconds
frame #2: size before decode=14162 bytes, size after decode=4147200 bytes, type=B, timestamp=0.042 seconds
frame #3: size before decode=14873 bytes, size after decode=4147200 bytes, type=B, timestamp=0.083 seconds
frame #4: size before decode=139300 bytes, size after decode=4147200 bytes, type=B, timestamp=0.125 seconds
frame #5: size before decode=35090 bytes, size after decode=4147200 bytes, type=P, timestamp=0.167 seconds
frame #6: size before decode=14565 bytes, size after decode=4147200 bytes, type=B, timestamp=0.209 seconds
frame #7: size before decode=13813 bytes, size after decode=4147200 bytes, type=B, timestamp=0.250 seconds
frame #8: size before decode=139434 bytes, size after decode=4147200 bytes, type=B, timestamp=0.292 seconds
frame #9: size before decode=35311 bytes, size after decode=4147200 bytes, type=P, timestamp=0.334 seconds
frame #10: size before decode=14125 bytes, size after decode=4147200 bytes, type=B, timestamp=0.375 seconds
frame #11: size before decode=13760 bytes, size after decode=4147200 bytes, type=B, timestamp=0.417 seconds
frame #12: size before decode=139171 bytes, size after decode=4147200 bytes, type=B, timestamp=0.459 seconds
frame #13: size before decode=36527 bytes, size after decode=4147200 bytes, type=P, timestamp=0.500 seconds
frame #14: size before decode=15168 bytes, size after decode=4147200 bytes, type=B, timestamp=0.542 seconds
frame #15: size before decode=14974 bytes, size after decode=4147200 bytes, type=B, timestamp=0.584 seconds
frame #16: size before decode=138783 bytes, size after decode=4147200 bytes, type=B, timestamp=0.626 seconds
frame #17: size before decode=36114 bytes, size after decode=4147200 bytes, type=P, timestamp=0.667 seconds
frame #18: size before decode=14841 bytes, size after decode=4147200 bytes, type=B, timestamp=0.709 seconds
frame #19: size before decode=13619 bytes, size after decode=4147200 bytes, type=B, timestamp=0.751 seconds
frame #20: size before decode=143552 bytes, size after decode=4147200 bytes, type=B, timestamp=0.792 seconds
frame #21: size before decode=36817 bytes, size after decode=4147200 bytes, type=P, timestamp=0.834 seconds
frame #22: size before decode=14599 bytes, size after decode=4147200 bytes, type=B, timestamp=0.876 seconds
frame #23: size before decode=14471 bytes, size after decode=4147200 bytes, type=B, timestamp=0.918 seconds
frame #24: size before decode=140977 bytes, size after decode=4147200 bytes, type=B, timestamp=0.959 seconds
frame #25: size before decode=36479 bytes, size after decode=4147200 bytes, type=P, timestamp=1.001 seconds
frame #26: size before decode=15313 bytes, size after decode=4147200 bytes, type=B, timestamp=1.043 seconds
frame #27: size before decode=14860 bytes, size after decode=4147200 bytes, type=B, timestamp=1.084 seconds
frame #28: size before decode=147541 bytes, size after decode=4147200 bytes, type=B, timestamp=1.126 seconds
frame #29: size before decode=37319 bytes, size after decode=4147200 bytes, type=P, timestamp=1.168 seconds
frame #30: size before decode=14449 bytes, size after decode=4147200 bytes, type=B, timestamp=1.210 seconds
frame #31: size before decode=13948 bytes, size after decode=4147200 bytes, type=B, timestamp=1.251 seconds
frame #32: size before decode=142666 bytes, size after decode=4147200 bytes, type=B, timestamp=1.293 seconds
frame #33: size before decode=35107 bytes, size after decode=4147200 bytes, type=P, timestamp=1.335 seconds
frame #34: size before decode=14170 bytes, size after decode=4147200 bytes, type=B, timestamp=1.376 seconds
frame #35: size before decode=13498 bytes, size after decode=4147200 bytes, type=B, timestamp=1.418 seconds
frame #36: size before decode=138021 bytes, size after decode=4147200 bytes, type=B, timestamp=1.460 seconds
frame #37: size before decode=35086 bytes, size after decode=4147200 bytes, type=P, timestamp=1.502 seconds
frame #38: size before decode=13982 bytes, size after decode=4147200 bytes, type=B, timestamp=1.543 seconds
frame #39: size before decode=14686 bytes, size after decode=4147200 bytes, type=B, timestamp=1.585 seconds
frame #40: size before decode=143334 bytes, size after decode=4147200 bytes, type=B, timestamp=1.627 seconds
frame #41: size before decode=36106 bytes, size after decode=4147200 bytes, type=P, timestamp=1.668 seconds
frame #42: size before decode=14355 bytes, size after decode=4147200 bytes, type=B, timestamp=1.710 seconds
frame #43: size before decode=14314 bytes, size after decode=4147200 bytes, type=B, timestamp=1.752 seconds
frame #44: size before decode=145306 bytes, size after decode=4147200 bytes, type=B, timestamp=1.793 seconds
frame #45: size before decode=37020 bytes, size after decode=4147200 bytes, type=P, timestamp=1.835 seconds
frame #46: size before decode=14134 bytes, size after decode=4147200 bytes, type=B, timestamp=1.877 seconds
frame #47: size before decode=14364 bytes, size after decode=4147200 bytes, type=B, timestamp=1.919 seconds
frame #48: size before decode=140462 bytes, size after decode=4147200 bytes, type=B, timestamp=1.960 seconds
frame #49: size before decode=36991 bytes, size after decode=4147200 bytes, type=P, timestamp=2.002 seconds
frame #50: size before decode=14780 bytes, size after decode=4147200 bytes, type=B, timestamp=2.044 seconds
frame #51: size before decode=15240 bytes, size after decode=4147200 bytes, type=B, timestamp=2.085 seconds
frame #52: size before decode=144422 bytes, size after decode=4147200 bytes, type=B, timestamp=2.127 seconds
frame #53: size before decode=38723 bytes, size after decode=4147200 bytes, type=P, timestamp=2.169 seconds
frame #54: size before decode=15479 bytes, size after decode=4147200 bytes, type=B, timestamp=2.211 seconds
frame #55: size before decode=15437 bytes, size after decode=4147200 bytes, type=B, timestamp=2.252 seconds
frame #56: size before decode=158669 bytes, size after decode=4147200 bytes, type=B, timestamp=2.294 seconds
frame #57: size before decode=39874 bytes, size after decode=4147200 bytes, type=P, timestamp=2.336 seconds
frame #58: size before decode=16093 bytes, size after decode=4147200 bytes, type=B, timestamp=2.377 seconds
frame #59: size before decode=15748 bytes, size after decode=4147200 bytes, type=B, timestamp=2.419 seconds
frame #60: size before decode=142495 bytes, size after decode=4147200 bytes, type=B, timestamp=2.461 seconds
frame #61: size before decode=37651 bytes, size after decode=4147200 bytes, type=P, timestamp=2.502 seconds
frame #62: size before decode=15332 bytes, size after decode=4147200 bytes, type=B, timestamp=2.544 seconds
frame #63: size before decode=15457 bytes, size after decode=4147200 bytes, type=B, timestamp=2.586 seconds
frame #64: size before decode=142832 bytes, size after decode=4147200 bytes, type=B, timestamp=2.628 seconds
frame #65: size before decode=38693 bytes, size after decode=4147200 bytes, type=P, timestamp=2.669 seconds
frame #66: size before decode=15405 bytes, size after decode=4147200 bytes, type=B, timestamp=2.711 seconds
frame #67: size before decode=15998 bytes, size after decode=4147200 bytes, type=B, timestamp=2.753 seconds
frame #68: size before decode=147632 bytes, size after decode=4147200 bytes, type=B, timestamp=2.794 seconds
frame #69: size before decode=41299 bytes, size after decode=4147200 bytes, type=P, timestamp=2.836 seconds
frame #70: size before decode=16548 bytes, size after decode=4147200 bytes, type=B, timestamp=2.878 seconds
frame #71: size before decode=16917 bytes, size after decode=4147200 bytes, type=B, timestamp=2.920 seconds
frame #72: size before decode=146448 bytes, size after decode=4147200 bytes, type=B, timestamp=2.961 seconds
frame #73: size before decode=39922 bytes, size after decode=4147200 bytes, type=P, timestamp=3.003 seconds
frame #74: size before decode=16380 bytes, size after decode=4147200 bytes, type=B, timestamp=3.045 seconds
frame #75: size before decode=16302 bytes, size after decode=4147200 bytes, type=B, timestamp=3.086 seconds
frame #76: size before decode=145600 bytes, size after decode=4147200 bytes, type=B, timestamp=3.128 seconds
frame #77: size before decode=40505 bytes, size after decode=4147200 bytes, type=P, timestamp=3.170 seconds
frame #78: size before decode=15801 bytes, size after decode=4147200 bytes, type=B, timestamp=3.212 seconds
frame #79: size before decode=16257 bytes, size after decode=4147200 bytes, type=B, timestamp=3.253 seconds
frame #80: size before decode=149140 bytes, size after decode=4147200 bytes, type=B, timestamp=3.295 seconds
frame #81: size before decode=40616 bytes, size after decode=4147200 bytes, type=P, timestamp=3.337 seconds
frame #82: size before decode=16696 bytes, size after decode=4147200 bytes, type=B, timestamp=3.378 seconds
frame #83: size before decode=16764 bytes, size after decode=4147200 bytes, type=B, timestamp=3.420 seconds
frame #84: size before decode=147106 bytes, size after decode=4147200 bytes, type=B, timestamp=3.462 seconds
frame #85: size before decode=41166 bytes, size after decode=4147200 bytes, type=P, timestamp=3.503 seconds
frame #86: size before decode=17635 bytes, size after decode=4147200 bytes, type=B, timestamp=3.545 seconds
frame #87: size before decode=16589 bytes, size after decode=4147200 bytes, type=B, timestamp=3.587 seconds
frame #88: size before decode=150367 bytes, size after decode=4147200 bytes, type=B, timestamp=3.629 seconds
frame #89: size before decode=41261 bytes, size after decode=4147200 bytes, type=P, timestamp=3.670 seconds
