print meta info for videos/sample_640x360.flv:
  duration time: 13.35 秒
  file size: 0.60 MB
  frame rate: 29.97 fps
  decoder: FLV / Sorenson Spark / Sorenson H.263 (Flash Video)

帧类型与大小统计:
frame #1: size before decode=32636 bytes, size after decode=460800 bytes, type=I, timestamp=0.000 seconds
frame #2: size before decode=9520 bytes, size after decode=460800 bytes, type=P, timestamp=0.033 seconds
frame #3: size before decode=5976 bytes, size after decode=460800 bytes, type=P, timestamp=0.067 seconds
frame #4: size before decode=5637 bytes, size after decode=460800 bytes, type=P, timestamp=0.100 seconds
frame #5: size before decode=5696 bytes, size after decode=460800 bytes, type=P, timestamp=0.133 seconds
frame #6: size before decode=1061 bytes, size after decode=460800 bytes, type=P, timestamp=0.167 seconds
frame #7: size before decode=828 bytes, size after decode=460800 bytes, type=P, timestamp=0.200 seconds
frame #8: size before decode=615 bytes, size after decode=460800 bytes, type=P, timestamp=0.234 seconds
frame #9: size before decode=669 bytes, size after decode=460800 bytes, type=P, timestamp=0.267 seconds
frame #10: size before decode=1299 bytes, size after decode=460800 bytes, type=P, timestamp=0.300 seconds
frame #11: size before decode=898 bytes, size after decode=460800 bytes, type=P, timestamp=0.334 seconds
frame #12: size before decode=727 bytes, size after decode=460800 bytes, type=P, timestamp=0.367 seconds
frame #13: size before decode=20172 bytes, size after decode=460800 bytes, type=I, timestamp=0.400 seconds
frame #14: size before decode=761 bytes, size after decode=460800 bytes, type=P, timestamp=0.434 seconds
frame #15: size before decode=562 bytes, size after decode=460800 bytes, type=P, timestamp=0.467 seconds
frame #16: size before decode=1361 bytes, size after decode=460800 bytes, type=P, timestamp=0.501 seconds
frame #17: size before decode=846 bytes, size after decode=460800 bytes, type=P, timestamp=0.534 seconds
frame #18: size before decode=803 bytes, size after decode=460800 bytes, type=P, timestamp=0.567 seconds
frame #19: size before decode=744 bytes, size after decode=460800 bytes, type=P, timestamp=0.601 seconds
frame #20: size before decode=876 bytes, size after decode=460800 bytes, type=P, timestamp=0.634 seconds
frame #21: size before decode=968 bytes, size after decode=460800 bytes, type=P, timestamp=0.667 seconds
frame #22: size before decode=1062 bytes, size after decode=460800 bytes, type=P, timestamp=0.701 seconds
frame #23: size before decode=902 bytes, size after decode=460800 bytes, type=P, timestamp=0.734 seconds
frame #24: size before decode=1113 bytes, size after decode=460800 bytes, type=P, timestamp=0.767 seconds
frame #25: size before decode=19590 bytes, size after decode=460800 bytes, type=I, timestamp=0.801 seconds
frame #26: size before decode=681 bytes, size after decode=460800 bytes, type=P, timestamp=0.834 seconds
frame #27: size before decode=497 bytes, size after decode=460800 bytes, type=P, timestamp=0.868 seconds
frame #28: size before decode=535 bytes, size after decode=460800 bytes, type=P, timestamp=0.901 seconds
frame #29: size before decode=1024 bytes, size after decode=460800 bytes, type=P, timestamp=0.934 seconds
frame #30: size before decode=856 bytes, size after decode=460800 bytes, type=P, timestamp=0.968 seconds
frame #31: size before decode=786 bytes, size after decode=460800 bytes, type=P, timestamp=1.001 seconds
frame #32: size before decode=895 bytes, size after decode=460800 bytes, type=P, timestamp=1.034 seconds
frame #33: size before decode=605 bytes, size after decode=460800 bytes, type=P, timestamp=1.068 seconds
frame #34: size before decode=931 bytes, size after decode=460800 bytes, type=P, timestamp=1.101 seconds
frame #35: size before decode=558 bytes, size after decode=460800 bytes, type=P, timestamp=1.134 seconds
frame #36: size before decode=1318 bytes, size after decode=460800 bytes, type=P, timestamp=1.168 seconds
frame #37: size before decode=16874 bytes, size after decode=460800 bytes, type=I, timestamp=1.201 seconds
frame #38: size before decode=602 bytes, size after decode=460800 bytes, type=P, timestamp=1.235 seconds
frame #39: size before decode=454 bytes, size after decode=460800 bytes, type=P, timestamp=1.268 seconds
frame #40: size before decode=526 bytes, size after decode=460800 bytes, type=P, timestamp=1.301 seconds
frame #41: size before decode=585 bytes, size after decode=460800 bytes, type=P, timestamp=1.335 seconds
frame #42: size before decode=519 bytes, size after decode=460800 bytes, type=P, timestamp=1.368 seconds
frame #43: size before decode=952 bytes, size after decode=460800 bytes, type=P, timestamp=1.401 seconds
frame #44: size before decode=552 bytes, size after decode=460800 bytes, type=P, timestamp=1.435 seconds
frame #45: size before decode=677 bytes, size after decode=460800 bytes, type=P, timestamp=1.468 seconds
frame #46: size before decode=874 bytes, size after decode=460800 bytes, type=P, timestamp=1.502 seconds
frame #47: size before decode=909 bytes, size after decode=460800 bytes, type=P, timestamp=1.535 seconds
frame #48: size before decode=511 bytes, size after decode=460800 bytes, type=P, timestamp=1.568 seconds
frame #49: size before decode=14676 bytes, size after decode=460800 bytes, type=I, timestamp=1.602 seconds
frame #50: size before decode=597 bytes, size after decode=460800 bytes, type=P, timestamp=1.635 seconds
frame #51: size before decode=465 bytes, size after decode=460800 bytes, type=P, timestamp=1.668 seconds
frame #52: size before decode=722 bytes, size after decode=460800 bytes, type=P, timestamp=1.702 seconds
frame #53: size before decode=605 bytes, size after decode=460800 bytes, type=P, timestamp=1.735 seconds
frame #54: size before decode=495 bytes, size after decode=460800 bytes, type=P, timestamp=1.768 seconds
frame #55: size before decode=759 bytes, size after decode=460800 bytes, type=P, timestamp=1.802 seconds
frame #56: size before decode=633 bytes, size after decode=460800 bytes, type=P, timestamp=1.835 seconds
frame #57: size before decode=497 bytes, size after decode=460800 bytes, type=P, timestamp=1.869 seconds
frame #58: size before decode=894 bytes, size after decode=460800 bytes, type=P, timestamp=1.902 seconds
frame #59: size before decode=502 bytes, size after decode=460800 bytes, type=P, timestamp=1.935 seconds
frame #60: size before decode=556 bytes, size after decode=460800 bytes, type=P, timestamp=1.969 seconds
frame #61: size before decode=14724 bytes, size after decode=460800 bytes, type=I, timestamp=2.002 seconds
frame #62: size before decode=561 bytes, size after decode=460800 bytes, type=P, timestamp=2.035 seconds
frame #63: size before decode=413 bytes, size after decode=460800 bytes, type=P, timestamp=2.069 seconds
frame #64: size before decode=579 bytes, size after decode=460800 bytes, type=P, timestamp=2.102 seconds
frame #65: size before decode=572 bytes, size after decode=460800 bytes, type=P, timestamp=2.135 seconds
frame #66: size before decode=661 bytes, size after decode=460800 bytes, type=P, timestamp=2.169 seconds
frame #67: size before decode=427 bytes, size after decode=460800 bytes, type=P, timestamp=2.202 seconds
frame #68: size before decode=682 bytes, size after decode=460800 bytes, type=P, timestamp=2.236 seconds
frame #69: size before decode=448 bytes, size after decode=460800 bytes, type=P, timestamp=2.269 seconds
frame #70: size before decode=720 bytes, size after decode=460800 bytes, type=P, timestamp=2.302 seconds
frame #71: size before decode=730 bytes, size after decode=460800 bytes, type=P, timestamp=2.336 seconds
frame #72: size before decode=556 bytes, size after decode=460800 bytes, type=P, timestamp=2.369 seconds
frame #73: size before decode=14674 bytes, size after decode=460800 bytes, type=I, timestamp=2.402 seconds
frame #74: size before decode=563 bytes, size after decode=460800 bytes, type=P, timestamp=2.436 seconds
frame #75: size before decode=367 bytes, size after decode=460800 bytes, type=P, timestamp=2.469 seconds
frame #76: size before decode=410 bytes, size after decode=460800 bytes, type=P, timestamp=2.503 seconds
frame #77: size before decode=617 bytes, size after decode=460800 bytes, type=P, timestamp=2.536 seconds
frame #78: size before decode=455 bytes, size after decode=460800 bytes, type=P, timestamp=2.569 seconds
frame #79: size before decode=764 bytes, size after decode=460800 bytes, type=P, timestamp=2.603 seconds
frame #80: size before decode=426 bytes, size after decode=460800 bytes, type=P, timestamp=2.636 seconds
frame #81: size before decode=456 bytes, size after decode=460800 bytes, type=P, timestamp=2.669 seconds
frame #82: size before decode=575 bytes, size after decode=460800 bytes, type=P, timestamp=2.703 seconds
frame #83: size before decode=544 bytes, size after decode=460800 bytes, type=P, timestamp=2.736 seconds
frame #84: size before decode=495 bytes, size after decode=460800 bytes, type=P, timestamp=2.769 seconds
frame #85: size before decode=14715 bytes, size after decode=460800 bytes, type=I, timestamp=2.803 seconds
frame #86: size before decode=509 bytes, size after decode=460800 bytes, type=P, timestamp=2.836 seconds
frame #87: size before decode=399 bytes, size after decode=460800 bytes, type=P, timestamp=2.870 seconds
frame #88: size before decode=374 bytes, size after decode=460800 bytes, type=P, timestamp=2.903 seconds
frame #89: size before decode=593 bytes, size after decode=460800 bytes, type=P, timestamp=2.936 seconds
frame #90: size before decode=613 bytes, size after decode=460800 bytes, type=P, timestamp=2.970 seconds
frame #91: size before decode=731 bytes, size after decode=460800 bytes, type=P, timestamp=3.003 seconds
frame #92: size before decode=380 bytes, size after decode=460800 bytes, type=P, timestamp=3.036 seconds
frame #93: size before decode=648 bytes, size after decode=460800 bytes, type=P, timestamp=3.070 seconds
frame #94: size before decode=495 bytes, size after decode=460800 bytes, type=P, timestamp=3.103 seconds
frame #95: size before decode=550 bytes, size after decode=460800 bytes, type=P, timestamp=3.136 seconds
frame #96: size before decode=556 bytes, size after decode=460800 bytes, type=P, timestamp=3.170 seconds
frame #97: size before decode=13619 bytes, size after decode=460800 bytes, type=I, timestamp=3.203 seconds
frame #98: size before decode=515 bytes, size after decode=460800 bytes, type=P, timestamp=3.237 seconds
frame #99: size before decode=312 bytes, size after decode=460800 bytes, type=P, timestamp=3.270 seconds
frame #100: size before decode=430 bytes, size after decode=460800 bytes, type=P, timestamp=3.303 seconds
frame #101: size before decode=566 bytes, size after decode=460800 bytes, type=P, timestamp=3.337 seconds
frame #102: size before decode=446 bytes, size after decode=460800 bytes, type=P, timestamp=3.370 seconds
frame #103: size before decode=573 bytes, size after decode=460800 bytes, type=P, timestamp=3.403 seconds
frame #104: size before decode=612 bytes, size after decode=460800 bytes, type=P, timestamp=3.437 seconds
frame #105: size before decode=470 bytes, size after decode=460800 bytes, type=P, timestamp=3.470 seconds
frame #106: size before decode=414 bytes, size after decode=460800 bytes, type=P, timestamp=3.504 seconds
frame #107: size before decode=744 bytes, size after decode=460800 bytes, type=P, timestamp=3.537 seconds
frame #108: size before decode=432 bytes, size after decode=460800 bytes, type=P, timestamp=3.570 seconds
frame #109: size before decode=13537 bytes, size after decode=460800 bytes, type=I, timestamp=3.604 seconds
frame #110: size before decode=436 bytes, size after decode=460800 bytes, type=P, timestamp=3.637 seconds
frame #111: size before decode=339 bytes, size after decode=460800 bytes, type=P, timestamp=3.670 seconds
frame #112: size before decode=518 bytes, size after decode=460800 bytes, type=P, timestamp=3.704 seconds
frame #113: size before decode=478 bytes, size after decode=460800 bytes, type=P, timestamp=3.737 seconds
frame #114: size before decode=436 bytes, size after decode=460800 bytes, type=P, timestamp=3.770 seconds
