print meta info for videos/13798524_3840_2160_25fps.mp4:
  duration time: 13.12 秒
  file size: 29.21 MB
  frame rate: 25.00 fps
  decoder: H.264 / AVC / MPEG-4 AVC / MPEG-4 part 10

帧类型与大小统计:
frame #1: size before decode=128037 bytes, size after decode=16588800 bytes, type=I, timestamp=0.000 seconds
frame #2: size before decode=68349 bytes, size after decode=16588800 bytes, type=B, timestamp=0.040 seconds
frame #3: size before decode=46462 bytes, size after decode=16588800 bytes, type=B, timestamp=0.080 seconds
frame #4: size before decode=181146 bytes, size after decode=16588800 bytes, type=B, timestamp=0.120 seconds
frame #5: size before decode=137457 bytes, size after decode=16588800 bytes, type=P, timestamp=0.160 seconds
frame #6: size before decode=85196 bytes, size after decode=16588800 bytes, type=B, timestamp=0.200 seconds
frame #7: size before decode=51592 bytes, size after decode=16588800 bytes, type=B, timestamp=0.240 seconds
frame #8: size before decode=220010 bytes, size after decode=16588800 bytes, type=B, timestamp=0.280 seconds
frame #9: size before decode=136734 bytes, size after decode=16588800 bytes, type=P, timestamp=0.320 seconds
frame #10: size before decode=102648 bytes, size after decode=16588800 bytes, type=B, timestamp=0.360 seconds
frame #11: size before decode=63872 bytes, size after decode=16588800 bytes, type=B, timestamp=0.400 seconds
frame #12: size before decode=188427 bytes, size after decode=16588800 bytes, type=B, timestamp=0.440 seconds
frame #13: size before decode=95640 bytes, size after decode=16588800 bytes, type=P, timestamp=0.480 seconds
frame #14: size before decode=71555 bytes, size after decode=16588800 bytes, type=B, timestamp=0.520 seconds
frame #15: size before decode=49929 bytes, size after decode=16588800 bytes, type=B, timestamp=0.560 seconds
frame #16: size before decode=188976 bytes, size after decode=16588800 bytes, type=B, timestamp=0.600 seconds
frame #17: size before decode=90783 bytes, size after decode=16588800 bytes, type=P, timestamp=0.640 seconds
frame #18: size before decode=56101 bytes, size after decode=16588800 bytes, type=B, timestamp=0.680 seconds
frame #19: size before decode=37878 bytes, size after decode=16588800 bytes, type=B, timestamp=0.720 seconds
frame #20: size before decode=177360 bytes, size after decode=16588800 bytes, type=B, timestamp=0.760 seconds
frame #21: size before decode=92355 bytes, size after decode=16588800 bytes, type=P, timestamp=0.800 seconds
