print meta info for videos/13426752-hd_720_1280_25fps.mp4:
  duration time: 8.53 秒
  file size: 3.08 MB
  frame rate: 25.00 fps
  decoder: H.264 / AVC / MPEG-4 AVC / MPEG-4 part 10

帧类型与大小统计:
frame #1: size before decode=4007 bytes, size after decode=1966080 bytes, type=I, timestamp=0.000 seconds
frame #2: size before decode=2684 bytes, size after decode=1966080 bytes, type=B, timestamp=0.040 seconds
frame #3: size before decode=1444 bytes, size after decode=1966080 bytes, type=B, timestamp=0.080 seconds
frame #4: size before decode=6698 bytes, size after decode=1966080 bytes, type=B, timestamp=0.120 seconds
frame #5: size before decode=7457 bytes, size after decode=1966080 bytes, type=P, timestamp=0.160 seconds
frame #6: size before decode=12519 bytes, size after decode=1966080 bytes, type=P, timestamp=0.200 seconds
frame #7: size before decode=3004 bytes, size after decode=1966080 bytes, type=P, timestamp=0.240 seconds
frame #8: size before decode=18208 bytes, size after decode=1966080 bytes, type=B, timestamp=0.280 seconds
frame #9: size before decode=7180 bytes, size after decode=1966080 bytes, type=P, timestamp=0.320 seconds
frame #10: size before decode=3453 bytes, size after decode=1966080 bytes, type=B, timestamp=0.360 seconds
frame #11: size before decode=3258 bytes, size after decode=1966080 bytes, type=B, timestamp=0.400 seconds
frame #12: size before decode=19716 bytes, size after decode=1966080 bytes, type=B, timestamp=0.440 seconds
frame #13: size before decode=6991 bytes, size after decode=1966080 bytes, type=P, timestamp=0.480 seconds
frame #14: size before decode=3611 bytes, size after decode=1966080 bytes, type=B, timestamp=0.520 seconds
frame #15: size before decode=2571 bytes, size after decode=1966080 bytes, type=B, timestamp=0.560 seconds
frame #16: size before decode=13441 bytes, size after decode=1966080 bytes, type=B, timestamp=0.600 seconds
frame #17: size before decode=2266 bytes, size after decode=1966080 bytes, type=P, timestamp=0.640 seconds
frame #18: size before decode=14716 bytes, size after decode=1966080 bytes, type=B, timestamp=0.680 seconds
frame #19: size before decode=5227 bytes, size after decode=1966080 bytes, type=P, timestamp=0.720 seconds
frame #20: size before decode=2129 bytes, size after decode=1966080 bytes, type=B, timestamp=0.760 seconds
frame #21: size before decode=3590 bytes, size after decode=1966080 bytes, type=B, timestamp=0.800 seconds
frame #22: size before decode=17049 bytes, size after decode=1966080 bytes, type=B, timestamp=0.840 seconds
frame #23: size before decode=7822 bytes, size after decode=1966080 bytes, type=P, timestamp=0.880 seconds
frame #24: size before decode=4197 bytes, size after decode=1966080 bytes, type=B, timestamp=0.920 seconds
frame #25: size before decode=4334 bytes, size after decode=1966080 bytes, type=B, timestamp=0.960 seconds
frame #26: size before decode=18017 bytes, size after decode=1966080 bytes, type=B, timestamp=1.000 seconds
frame #27: size before decode=8893 bytes, size after decode=1966080 bytes, type=P, timestamp=1.040 seconds
frame #28: size before decode=4236 bytes, size after decode=1966080 bytes, type=B, timestamp=1.080 seconds
frame #29: size before decode=4327 bytes, size after decode=1966080 bytes, type=B, timestamp=1.120 seconds
frame #30: size before decode=24908 bytes, size after decode=1966080 bytes, type=B, timestamp=1.160 seconds
frame #31: size before decode=7749 bytes, size after decode=1966080 bytes, type=P, timestamp=1.200 seconds
frame #32: size before decode=4706 bytes, size after decode=1966080 bytes, type=B, timestamp=1.240 seconds
frame #33: size before decode=18630 bytes, size after decode=1966080 bytes, type=B, timestamp=1.280 seconds
frame #34: size before decode=9114 bytes, size after decode=1966080 bytes, type=P, timestamp=1.320 seconds
frame #35: size before decode=4639 bytes, size after decode=1966080 bytes, type=B, timestamp=1.360 seconds
frame #36: size before decode=4998 bytes, size after decode=1966080 bytes, type=B, timestamp=1.400 seconds
frame #37: size before decode=19567 bytes, size after decode=1966080 bytes, type=B, timestamp=1.440 seconds
frame #38: size before decode=9671 bytes, size after decode=1966080 bytes, type=P, timestamp=1.480 seconds
frame #39: size before decode=5635 bytes, size after decode=1966080 bytes, type=B, timestamp=1.520 seconds
frame #40: size before decode=5377 bytes, size after decode=1966080 bytes, type=B, timestamp=1.560 seconds
