print meta info for videos/13745021_720_1280_30fps.mp4:
  duration time: 17.53 秒
  file size: 12.84 MB
  frame rate: 30.00 fps
  decoder: H.264 / AVC / MPEG-4 AVC / MPEG-4 part 10

帧类型与大小统计:
frame #1: size before decode=29615 bytes, size after decode=1966080 bytes, type=I, timestamp=0.000 seconds
frame #2: size before decode=12039 bytes, size after decode=1966080 bytes, type=B, timestamp=0.033 seconds
frame #3: size before decode=10138 bytes, size after decode=1966080 bytes, type=B, timestamp=0.067 seconds
frame #4: size before decode=50130 bytes, size after decode=1966080 bytes, type=B, timestamp=0.100 seconds
frame #5: size before decode=27726 bytes, size after decode=1966080 bytes, type=P, timestamp=0.133 seconds
frame #6: size before decode=9966 bytes, size after decode=1966080 bytes, type=B, timestamp=0.167 seconds
frame #7: size before decode=9759 bytes, size after decode=1966080 bytes, type=B, timestamp=0.200 seconds
frame #8: size before decode=49092 bytes, size after decode=1966080 bytes, type=B, timestamp=0.233 seconds
frame #9: size before decode=28069 bytes, size after decode=1966080 bytes, type=P, timestamp=0.267 seconds
frame #10: size before decode=10918 bytes, size after decode=1966080 bytes, type=B, timestamp=0.300 seconds
frame #11: size before decode=9648 bytes, size after decode=1966080 bytes, type=B, timestamp=0.333 seconds
frame #12: size before decode=50519 bytes, size after decode=1966080 bytes, type=B, timestamp=0.367 seconds
frame #13: size before decode=28338 bytes, size after decode=1966080 bytes, type=P, timestamp=0.400 seconds
frame #14: size before decode=10165 bytes, size after decode=1966080 bytes, type=B, timestamp=0.433 seconds
frame #15: size before decode=9409 bytes, size after decode=1966080 bytes, type=B, timestamp=0.467 seconds
frame #16: size before decode=49483 bytes, size after decode=1966080 bytes, type=B, timestamp=0.500 seconds
frame #17: size before decode=29233 bytes, size after decode=1966080 bytes, type=P, timestamp=0.533 seconds
frame #18: size before decode=9739 bytes, size after decode=1966080 bytes, type=B, timestamp=0.567 seconds
frame #19: size before decode=10104 bytes, size after decode=1966080 bytes, type=B, timestamp=0.600 seconds
frame #20: size before decode=50096 bytes, size after decode=1966080 bytes, type=B, timestamp=0.633 seconds
frame #21: size before decode=29402 bytes, size after decode=1966080 bytes, type=P, timestamp=0.667 seconds
frame #22: size before decode=10091 bytes, size after decode=1966080 bytes, type=B, timestamp=0.700 seconds
frame #23: size before decode=9964 bytes, size after decode=1966080 bytes, type=B, timestamp=0.733 seconds
frame #24: size before decode=52493 bytes, size after decode=1966080 bytes, type=B, timestamp=0.767 seconds
frame #25: size before decode=29006 bytes, size after decode=1966080 bytes, type=P, timestamp=0.800 seconds
frame #26: size before decode=9465 bytes, size after decode=1966080 bytes, type=B, timestamp=0.833 seconds
frame #27: size before decode=9225 bytes, size after decode=1966080 bytes, type=B, timestamp=0.867 seconds
frame #28: size before decode=51048 bytes, size after decode=1966080 bytes, type=B, timestamp=0.900 seconds
frame #29: size before decode=26262 bytes, size after decode=1966080 bytes, type=P, timestamp=0.933 seconds
frame #30: size before decode=12375 bytes, size after decode=1966080 bytes, type=B, timestamp=0.967 seconds
frame #31: size before decode=12383 bytes, size after decode=1966080 bytes, type=B, timestamp=1.000 seconds
frame #32: size before decode=46889 bytes, size after decode=1966080 bytes, type=B, timestamp=1.033 seconds
frame #33: size before decode=25365 bytes, size after decode=1966080 bytes, type=P, timestamp=1.067 seconds
frame #34: size before decode=13236 bytes, size after decode=1966080 bytes, type=B, timestamp=1.100 seconds
frame #35: size before decode=13293 bytes, size after decode=1966080 bytes, type=B, timestamp=1.133 seconds
frame #36: size before decode=47644 bytes, size after decode=1966080 bytes, type=B, timestamp=1.167 seconds
frame #37: size before decode=25872 bytes, size after decode=1966080 bytes, type=P, timestamp=1.200 seconds
frame #38: size before decode=13694 bytes, size after decode=1966080 bytes, type=B, timestamp=1.233 seconds
frame #39: size before decode=13869 bytes, size after decode=1966080 bytes, type=B, timestamp=1.267 seconds
frame #40: size before decode=48174 bytes, size after decode=1966080 bytes, type=B, timestamp=1.300 seconds
frame #41: size before decode=26131 bytes, size after decode=1966080 bytes, type=P, timestamp=1.333 seconds
frame #42: size before decode=14058 bytes, size after decode=1966080 bytes, type=B, timestamp=1.367 seconds
frame #43: size before decode=14008 bytes, size after decode=1966080 bytes, type=B, timestamp=1.400 seconds
frame #44: size before decode=49426 bytes, size after decode=1966080 bytes, type=B, timestamp=1.433 seconds
frame #45: size before decode=26413 bytes, size after decode=1966080 bytes, type=P, timestamp=1.467 seconds
frame #46: size before decode=13641 bytes, size after decode=1966080 bytes, type=B, timestamp=1.500 seconds
frame #47: size before decode=13477 bytes, size after decode=1966080 bytes, type=B, timestamp=1.533 seconds
frame #48: size before decode=49461 bytes, size after decode=1966080 bytes, type=B, timestamp=1.567 seconds
frame #49: size before decode=26610 bytes, size after decode=1966080 bytes, type=P, timestamp=1.600 seconds
frame #50: size before decode=13270 bytes, size after decode=1966080 bytes, type=B, timestamp=1.633 seconds
frame #51: size before decode=13112 bytes, size after decode=1966080 bytes, type=B, timestamp=1.667 seconds
frame #52: size before decode=51572 bytes, size after decode=1966080 bytes, type=B, timestamp=1.700 seconds
frame #53: size before decode=27001 bytes, size after decode=1966080 bytes, type=P, timestamp=1.733 seconds
frame #54: size before decode=13537 bytes, size after decode=1966080 bytes, type=B, timestamp=1.767 seconds
frame #55: size before decode=14018 bytes, size after decode=1966080 bytes, type=B, timestamp=1.800 seconds
frame #56: size before decode=56728 bytes, size after decode=1966080 bytes, type=B, timestamp=1.833 seconds
frame #57: size before decode=31515 bytes, size after decode=1966080 bytes, type=P, timestamp=1.867 seconds
frame #58: size before decode=12969 bytes, size after decode=1966080 bytes, type=B, timestamp=1.900 seconds
frame #59: size before decode=9793 bytes, size after decode=1966080 bytes, type=B, timestamp=1.933 seconds
frame #60: size before decode=52752 bytes, size after decode=1966080 bytes, type=B, timestamp=1.967 seconds
frame #61: size before decode=30852 bytes, size after decode=1966080 bytes, type=P, timestamp=2.000 seconds
frame #62: size before decode=10730 bytes, size after decode=1966080 bytes, type=B, timestamp=2.033 seconds
