print meta info for videos/13232985_1080_1920_30fps.mp4:
  duration time: 8.44 秒
  file size: 5.86 MB
  frame rate: 29.97 fps
  decoder: H.264 / AVC / MPEG-4 AVC / MPEG-4 part 10

帧类型与大小统计:
frame #1: size before decode=23185 bytes, size after decode=4423680 bytes, type=I, timestamp=0.000 seconds
frame #2: size before decode=14677 bytes, size after decode=4423680 bytes, type=B, timestamp=0.033 seconds
frame #3: size before decode=11779 bytes, size after decode=4423680 bytes, type=B, timestamp=0.067 seconds
frame #4: size before decode=40628 bytes, size after decode=4423680 bytes, type=B, timestamp=0.100 seconds
frame #5: size before decode=20001 bytes, size after decode=4423680 bytes, type=P, timestamp=0.133 seconds
frame #6: size before decode=16084 bytes, size after decode=4423680 bytes, type=B, timestamp=0.167 seconds
frame #7: size before decode=13302 bytes, size after decode=4423680 bytes, type=B, timestamp=0.200 seconds
frame #8: size before decode=38404 bytes, size after decode=4423680 bytes, type=B, timestamp=0.234 seconds
frame #9: size before decode=22086 bytes, size after decode=4423680 bytes, type=P, timestamp=0.267 seconds
frame #10: size before decode=13845 bytes, size after decode=4423680 bytes, type=B, timestamp=0.300 seconds
frame #11: size before decode=9827 bytes, size after decode=4423680 bytes, type=B, timestamp=0.334 seconds
frame #12: size before decode=34942 bytes, size after decode=4423680 bytes, type=B, timestamp=0.367 seconds
frame #13: size before decode=18852 bytes, size after decode=4423680 bytes, type=P, timestamp=0.400 seconds
frame #14: size before decode=12700 bytes, size after decode=4423680 bytes, type=B, timestamp=0.434 seconds
frame #15: size before decode=12443 bytes, size after decode=4423680 bytes, type=B, timestamp=0.467 seconds
frame #16: size before decode=33704 bytes, size after decode=4423680 bytes, type=B, timestamp=0.501 seconds
frame #17: size before decode=17974 bytes, size after decode=4423680 bytes, type=P, timestamp=0.534 seconds
frame #18: size before decode=9988 bytes, size after decode=4423680 bytes, type=B, timestamp=0.567 seconds
frame #19: size before decode=10503 bytes, size after decode=4423680 bytes, type=B, timestamp=0.601 seconds
frame #20: size before decode=37824 bytes, size after decode=4423680 bytes, type=B, timestamp=0.634 seconds
frame #21: size before decode=18722 bytes, size after decode=4423680 bytes, type=P, timestamp=0.667 seconds
frame #22: size before decode=12485 bytes, size after decode=4423680 bytes, type=B, timestamp=0.701 seconds
frame #23: size before decode=10294 bytes, size after decode=4423680 bytes, type=B, timestamp=0.734 seconds
frame #24: size before decode=37615 bytes, size after decode=4423680 bytes, type=B, timestamp=0.767 seconds
frame #25: size before decode=20977 bytes, size after decode=4423680 bytes, type=P, timestamp=0.801 seconds
frame #26: size before decode=12069 bytes, size after decode=4423680 bytes, type=B, timestamp=0.834 seconds
frame #27: size before decode=15217 bytes, size after decode=4423680 bytes, type=B, timestamp=0.868 seconds
frame #28: size before decode=34756 bytes, size after decode=4423680 bytes, type=B, timestamp=0.901 seconds
frame #29: size before decode=23597 bytes, size after decode=4423680 bytes, type=P, timestamp=0.934 seconds
frame #30: size before decode=13494 bytes, size after decode=4423680 bytes, type=B, timestamp=0.968 seconds
frame #31: size before decode=13791 bytes, size after decode=4423680 bytes, type=B, timestamp=1.001 seconds
frame #32: size before decode=30343 bytes, size after decode=4423680 bytes, type=B, timestamp=1.034 seconds
frame #33: size before decode=15808 bytes, size after decode=4423680 bytes, type=P, timestamp=1.068 seconds
frame #34: size before decode=14356 bytes, size after decode=4423680 bytes, type=B, timestamp=1.101 seconds
frame #35: size before decode=35904 bytes, size after decode=4423680 bytes, type=B, timestamp=1.134 seconds
frame #36: size before decode=20393 bytes, size after decode=4423680 bytes, type=P, timestamp=1.168 seconds
frame #37: size before decode=11899 bytes, size after decode=4423680 bytes, type=B, timestamp=1.201 seconds
frame #38: size before decode=15251 bytes, size after decode=4423680 bytes, type=B, timestamp=1.235 seconds
frame #39: size before decode=32793 bytes, size after decode=4423680 bytes, type=B, timestamp=1.268 seconds
frame #40: size before decode=15197 bytes, size after decode=4423680 bytes, type=P, timestamp=1.301 seconds
frame #41: size before decode=39168 bytes, size after decode=4423680 bytes, type=B, timestamp=1.335 seconds
frame #42: size before decode=21415 bytes, size after decode=4423680 bytes, type=P, timestamp=1.368 seconds
frame #43: size before decode=17892 bytes, size after decode=4423680 bytes, type=B, timestamp=1.401 seconds
frame #44: size before decode=39522 bytes, size after decode=4423680 bytes, type=B, timestamp=1.435 seconds
frame #45: size before decode=20144 bytes, size after decode=4423680 bytes, type=P, timestamp=1.468 seconds
frame #46: size before decode=13707 bytes, size after decode=4423680 bytes, type=B, timestamp=1.502 seconds
frame #47: size before decode=16060 bytes, size after decode=4423680 bytes, type=B, timestamp=1.535 seconds
frame #48: size before decode=32310 bytes, size after decode=4423680 bytes, type=B, timestamp=1.568 seconds
frame #49: size before decode=16128 bytes, size after decode=4423680 bytes, type=P, timestamp=1.602 seconds
frame #50: size before decode=38204 bytes, size after decode=4423680 bytes, type=B, timestamp=1.635 seconds
frame #51: size before decode=22470 bytes, size after decode=4423680 bytes, type=P, timestamp=1.668 seconds
frame #52: size before decode=16628 bytes, size after decode=4423680 bytes, type=B, timestamp=1.702 seconds
frame #53: size before decode=16093 bytes, size after decode=4423680 bytes, type=B, timestamp=1.735 seconds
frame #54: size before decode=34885 bytes, size after decode=4423680 bytes, type=B, timestamp=1.768 seconds
frame #55: size before decode=16152 bytes, size after decode=4423680 bytes, type=P, timestamp=1.802 seconds
frame #56: size before decode=14086 bytes, size after decode=4423680 bytes, type=B, timestamp=1.835 seconds
frame #57: size before decode=29347 bytes, size after decode=4423680 bytes, type=B, timestamp=1.869 seconds
frame #58: size before decode=36117 bytes, size after decode=4423680 bytes, type=P, timestamp=1.902 seconds
frame #59: size before decode=23129 bytes, size after decode=4423680 bytes, type=P, timestamp=1.935 seconds
frame #60: size before decode=16908 bytes, size after decode=4423680 bytes, type=B, timestamp=1.969 seconds
frame #61: size before decode=12207 bytes, size after decode=4423680 bytes, type=B, timestamp=2.002 seconds
frame #62: size before decode=37857 bytes, size after decode=4423680 bytes, type=B, timestamp=2.035 seconds
