print meta info for videos/13678303_720_1280_24fps.mp4:
  duration time: 16.04 秒
  file size: 4.61 MB
  frame rate: 24.00 fps
  decoder: H.264 / AVC / MPEG-4 AVC / MPEG-4 part 10

帧类型与大小统计:
frame #1: size before decode=9861 bytes, size after decode=1966080 bytes, type=I, timestamp=0.042 seconds
frame #2: size before decode=927 bytes, size after decode=1966080 bytes, type=B, timestamp=0.083 seconds
frame #3: size before decode=7768 bytes, size after decode=1966080 bytes, type=B, timestamp=0.125 seconds
frame #4: size before decode=24620 bytes, size after decode=1966080 bytes, type=B, timestamp=0.167 seconds
frame #5: size before decode=10317 bytes, size after decode=1966080 bytes, type=P, timestamp=0.208 seconds
frame #6: size before decode=7440 bytes, size after decode=1966080 bytes, type=B, timestamp=0.250 seconds
frame #7: size before decode=6096 bytes, size after decode=1966080 bytes, type=B, timestamp=0.292 seconds
frame #8: size before decode=25843 bytes, size after decode=1966080 bytes, type=B, timestamp=0.333 seconds
frame #9: size before decode=14955 bytes, size after decode=1966080 bytes, type=P, timestamp=0.375 seconds
frame #10: size before decode=2098 bytes, size after decode=1966080 bytes, type=B, timestamp=0.417 seconds
frame #11: size before decode=7919 bytes, size after decode=1966080 bytes, type=B, timestamp=0.458 seconds
frame #12: size before decode=24611 bytes, size after decode=1966080 bytes, type=B, timestamp=0.500 seconds
frame #13: size before decode=10666 bytes, size after decode=1966080 bytes, type=P, timestamp=0.542 seconds
frame #14: size before decode=6824 bytes, size after decode=1966080 bytes, type=B, timestamp=0.583 seconds
frame #15: size before decode=6684 bytes, size after decode=1966080 bytes, type=B, timestamp=0.625 seconds
frame #16: size before decode=23547 bytes, size after decode=1966080 bytes, type=B, timestamp=0.667 seconds
frame #17: size before decode=10103 bytes, size after decode=1966080 bytes, type=P, timestamp=0.708 seconds
frame #18: size before decode=5981 bytes, size after decode=1966080 bytes, type=B, timestamp=0.750 seconds
frame #19: size before decode=5042 bytes, size after decode=1966080 bytes, type=B, timestamp=0.792 seconds
frame #20: size before decode=25596 bytes, size after decode=1966080 bytes, type=B, timestamp=0.833 seconds
frame #21: size before decode=10917 bytes, size after decode=1966080 bytes, type=P, timestamp=0.875 seconds
frame #22: size before decode=6786 bytes, size after decode=1966080 bytes, type=B, timestamp=0.917 seconds
frame #23: size before decode=6970 bytes, size after decode=1966080 bytes, type=B, timestamp=0.958 seconds
frame #24: size before decode=22967 bytes, size after decode=1966080 bytes, type=B, timestamp=1.000 seconds
frame #25: size before decode=11117 bytes, size after decode=1966080 bytes, type=P, timestamp=1.042 seconds
frame #26: size before decode=5988 bytes, size after decode=1966080 bytes, type=B, timestamp=1.083 seconds
frame #27: size before decode=6576 bytes, size after decode=1966080 bytes, type=B, timestamp=1.125 seconds
frame #28: size before decode=25480 bytes, size after decode=1966080 bytes, type=B, timestamp=1.167 seconds
frame #29: size before decode=9931 bytes, size after decode=1966080 bytes, type=P, timestamp=1.208 seconds
frame #30: size before decode=5703 bytes, size after decode=1966080 bytes, type=B, timestamp=1.250 seconds
frame #31: size before decode=5605 bytes, size after decode=1966080 bytes, type=B, timestamp=1.292 seconds
frame #32: size before decode=23307 bytes, size after decode=1966080 bytes, type=B, timestamp=1.333 seconds
frame #33: size before decode=9184 bytes, size after decode=1966080 bytes, type=P, timestamp=1.375 seconds
frame #34: size before decode=5589 bytes, size after decode=1966080 bytes, type=B, timestamp=1.417 seconds
