print meta info for videos/SampleVideo_720x480_2mb.mp4:
  duration time: 15.32 秒
  file size: 2.00 MB
  frame rate: 25.00 fps
  decoder: H.264 / AVC / MPEG-4 AVC / MPEG-4 part 10

帧类型与大小统计:
frame #1: size before decode=66943 bytes, size after decode=614400 bytes, type=I, timestamp=0.000 seconds
frame #2: size before decode=983 bytes, size after decode=614400 bytes, type=P, timestamp=0.040 seconds
frame #3: size before decode=1626 bytes, size after decode=614400 bytes, type=P, timestamp=0.080 seconds
frame #4: size before decode=1730 bytes, size after decode=614400 bytes, type=P, timestamp=0.120 seconds
frame #5: size before decode=2386 bytes, size after decode=614400 bytes, type=P, timestamp=0.160 seconds
frame #6: size before decode=3330 bytes, size after decode=614400 bytes, type=P, timestamp=0.200 seconds
frame #7: size before decode=4492 bytes, size after decode=614400 bytes, type=P, timestamp=0.240 seconds
frame #8: size before decode=327 bytes, size after decode=614400 bytes, type=P, timestamp=0.280 seconds
frame #9: size before decode=4285 bytes, size after decode=614400 bytes, type=P, timestamp=0.320 seconds
frame #10: size before decode=4736 bytes, size after decode=614400 bytes, type=P, timestamp=0.360 seconds
frame #11: size before decode=4763 bytes, size after decode=614400 bytes, type=P, timestamp=0.400 seconds
frame #12: size before decode=5524 bytes, size after decode=614400 bytes, type=P, timestamp=0.440 seconds
frame #13: size before decode=5845 bytes, size after decode=614400 bytes, type=P, timestamp=0.480 seconds
frame #14: size before decode=6044 bytes, size after decode=614400 bytes, type=P, timestamp=0.520 seconds
frame #15: size before decode=6135 bytes, size after decode=614400 bytes, type=P, timestamp=0.560 seconds
frame #16: size before decode=6255 bytes, size after decode=614400 bytes, type=P, timestamp=0.600 seconds
frame #17: size before decode=5943 bytes, size after decode=614400 bytes, type=P, timestamp=0.640 seconds
frame #18: size before decode=6185 bytes, size after decode=614400 bytes, type=P, timestamp=0.680 seconds
frame #19: size before decode=6152 bytes, size after decode=614400 bytes, type=P, timestamp=0.720 seconds
frame #20: size before decode=6631 bytes, size after decode=614400 bytes, type=P, timestamp=0.760 seconds
frame #21: size before decode=6665 bytes, size after decode=614400 bytes, type=P, timestamp=0.800 seconds
frame #22: size before decode=7052 bytes, size after decode=614400 bytes, type=P, timestamp=0.840 seconds
frame #23: size before decode=7100 bytes, size after decode=614400 bytes, type=P, timestamp=0.880 seconds
frame #24: size before decode=7497 bytes, size after decode=614400 bytes, type=P, timestamp=0.920 seconds
frame #25: size before decode=6920 bytes, size after decode=614400 bytes, type=P, timestamp=0.960 seconds
frame #26: size before decode=7047 bytes, size after decode=614400 bytes, type=P, timestamp=1.000 seconds
frame #27: size before decode=6850 bytes, size after decode=614400 bytes, type=P, timestamp=1.040 seconds
frame #28: size before decode=6944 bytes, size after decode=614400 bytes, type=P, timestamp=1.080 seconds
frame #29: size before decode=7048 bytes, size after decode=614400 bytes, type=P, timestamp=1.120 seconds
frame #30: size before decode=7321 bytes, size after decode=614400 bytes, type=P, timestamp=1.160 seconds
frame #31: size before decode=7177 bytes, size after decode=614400 bytes, type=P, timestamp=1.200 seconds
frame #32: size before decode=7542 bytes, size after decode=614400 bytes, type=P, timestamp=1.240 seconds
frame #33: size before decode=746 bytes, size after decode=614400 bytes, type=P, timestamp=1.280 seconds
frame #34: size before decode=5645 bytes, size after decode=614400 bytes, type=P, timestamp=1.320 seconds
frame #35: size before decode=6337 bytes, size after decode=614400 bytes, type=P, timestamp=1.360 seconds
frame #36: size before decode=6436 bytes, size after decode=614400 bytes, type=P, timestamp=1.400 seconds
frame #37: size before decode=6941 bytes, size after decode=614400 bytes, type=P, timestamp=1.440 seconds
frame #38: size before decode=7197 bytes, size after decode=614400 bytes, type=P, timestamp=1.480 seconds
frame #39: size before decode=7567 bytes, size after decode=614400 bytes, type=P, timestamp=1.520 seconds
frame #40: size before decode=7776 bytes, size after decode=614400 bytes, type=P, timestamp=1.560 seconds
frame #41: size before decode=8261 bytes, size after decode=614400 bytes, type=P, timestamp=1.600 seconds
frame #42: size before decode=7458 bytes, size after decode=614400 bytes, type=P, timestamp=1.640 seconds
frame #43: size before decode=7581 bytes, size after decode=614400 bytes, type=P, timestamp=1.680 seconds
frame #44: size before decode=7790 bytes, size after decode=614400 bytes, type=P, timestamp=1.720 seconds
frame #45: size before decode=7466 bytes, size after decode=614400 bytes, type=P, timestamp=1.760 seconds
frame #46: size before decode=7379 bytes, size after decode=614400 bytes, type=P, timestamp=1.800 seconds
frame #47: size before decode=7206 bytes, size after decode=614400 bytes, type=P, timestamp=1.840 seconds
frame #48: size before decode=7067 bytes, size after decode=614400 bytes, type=P, timestamp=1.880 seconds
frame #49: size before decode=7353 bytes, size after decode=614400 bytes, type=P, timestamp=1.920 seconds
frame #50: size before decode=6303 bytes, size after decode=614400 bytes, type=P, timestamp=1.960 seconds
frame #51: size before decode=6190 bytes, size after decode=614400 bytes, type=P, timestamp=2.000 seconds
frame #52: size before decode=6255 bytes, size after decode=614400 bytes, type=P, timestamp=2.040 seconds
frame #53: size before decode=6279 bytes, size after decode=614400 bytes, type=P, timestamp=2.080 seconds
frame #54: size before decode=5906 bytes, size after decode=614400 bytes, type=P, timestamp=2.120 seconds
frame #55: size before decode=6491 bytes, size after decode=614400 bytes, type=P, timestamp=2.160 seconds
frame #56: size before decode=6070 bytes, size after decode=614400 bytes, type=P, timestamp=2.200 seconds
frame #57: size before decode=6717 bytes, size after decode=614400 bytes, type=P, timestamp=2.240 seconds
frame #58: size before decode=702 bytes, size after decode=614400 bytes, type=P, timestamp=2.280 seconds
frame #59: size before decode=5187 bytes, size after decode=614400 bytes, type=P, timestamp=2.320 seconds
frame #60: size before decode=6052 bytes, size after decode=614400 bytes, type=P, timestamp=2.360 seconds
frame #61: size before decode=5739 bytes, size after decode=614400 bytes, type=P, timestamp=2.400 seconds
frame #62: size before decode=6170 bytes, size after decode=614400 bytes, type=P, timestamp=2.440 seconds
frame #63: size before decode=6115 bytes, size after decode=614400 bytes, type=P, timestamp=2.480 seconds
frame #64: size before decode=6618 bytes, size after decode=614400 bytes, type=P, timestamp=2.520 seconds
frame #65: size before decode=6106 bytes, size after decode=614400 bytes, type=P, timestamp=2.560 seconds
frame #66: size before decode=6408 bytes, size after decode=614400 bytes, type=P, timestamp=2.600 seconds
frame #67: size before decode=5994 bytes, size after decode=614400 bytes, type=P, timestamp=2.640 seconds
frame #68: size before decode=6568 bytes, size after decode=614400 bytes, type=P, timestamp=2.680 seconds
frame #69: size before decode=6538 bytes, size after decode=614400 bytes, type=P, timestamp=2.720 seconds
frame #70: size before decode=6760 bytes, size after decode=614400 bytes, type=P, timestamp=2.760 seconds
frame #71: size before decode=6920 bytes, size after decode=614400 bytes, type=P, timestamp=2.800 seconds
frame #72: size before decode=6978 bytes, size after decode=614400 bytes, type=P, timestamp=2.840 seconds
frame #73: size before decode=6893 bytes, size after decode=614400 bytes, type=P, timestamp=2.880 seconds
frame #74: size before decode=7073 bytes, size after decode=614400 bytes, type=P, timestamp=2.920 seconds
frame #75: size before decode=7303 bytes, size after decode=614400 bytes, type=P, timestamp=2.960 seconds
frame #76: size before decode=6958 bytes, size after decode=614400 bytes, type=P, timestamp=3.000 seconds
frame #77: size before decode=7213 bytes, size after decode=614400 bytes, type=P, timestamp=3.040 seconds
frame #78: size before decode=7844 bytes, size after decode=614400 bytes, type=P, timestamp=3.080 seconds
frame #79: size before decode=5882 bytes, size after decode=614400 bytes, type=P, timestamp=3.120 seconds
frame #80: size before decode=8327 bytes, size after decode=614400 bytes, type=P, timestamp=3.160 seconds
frame #81: size before decode=7232 bytes, size after decode=614400 bytes, type=P, timestamp=3.200 seconds
frame #82: size before decode=4747 bytes, size after decode=614400 bytes, type=P, timestamp=3.240 seconds
frame #83: size before decode=1135 bytes, size after decode=614400 bytes, type=P, timestamp=3.280 seconds
frame #84: size before decode=6231 bytes, size after decode=614400 bytes, type=P, timestamp=3.320 seconds
frame #85: size before decode=6971 bytes, size after decode=614400 bytes, type=P, timestamp=3.360 seconds
frame #86: size before decode=2830 bytes, size after decode=614400 bytes, type=P, timestamp=3.400 seconds
frame #87: size before decode=4962 bytes, size after decode=614400 bytes, type=P, timestamp=3.440 seconds
frame #88: size before decode=4170 bytes, size after decode=614400 bytes, type=P, timestamp=3.480 seconds
frame #89: size before decode=5501 bytes, size after decode=614400 bytes, type=P, timestamp=3.520 seconds
frame #90: size before decode=1993 bytes, size after decode=614400 bytes, type=P, timestamp=3.560 seconds
frame #91: size before decode=2998 bytes, size after decode=614400 bytes, type=P, timestamp=3.600 seconds
frame #92: size before decode=1828 bytes, size after decode=614400 bytes, type=P, timestamp=3.640 seconds
frame #93: size before decode=1671 bytes, size after decode=614400 bytes, type=P, timestamp=3.680 seconds
frame #94: size before decode=1615 bytes, size after decode=614400 bytes, type=P, timestamp=3.720 seconds
frame #95: size before decode=1651 bytes, size after decode=614400 bytes, type=P, timestamp=3.760 seconds
frame #96: size before decode=1327 bytes, size after decode=614400 bytes, type=P, timestamp=3.800 seconds
frame #97: size before decode=1426 bytes, size after decode=614400 bytes, type=P, timestamp=3.840 seconds
frame #98: size before decode=2458 bytes, size after decode=614400 bytes, type=P, timestamp=3.880 seconds
frame #99: size before decode=1795 bytes, size after decode=614400 bytes, type=P, timestamp=3.920 seconds
frame #100: size before decode=1965 bytes, size after decode=614400 bytes, type=P, timestamp=3.960 seconds
frame #101: size before decode=2197 bytes, size after decode=614400 bytes, type=P, timestamp=4.000 seconds
frame #102: size before decode=2234 bytes, size after decode=614400 bytes, type=P, timestamp=4.040 seconds
frame #103: size before decode=2000 bytes, size after decode=614400 bytes, type=P, timestamp=4.080 seconds
frame #104: size before decode=3072 bytes, size after decode=614400 bytes, type=P, timestamp=4.120 seconds
frame #105: size before decode=3574 bytes, size after decode=614400 bytes, type=P, timestamp=4.160 seconds
frame #106: size before decode=4178 bytes, size after decode=614400 bytes, type=P, timestamp=4.200 seconds
frame #107: size before decode=5516 bytes, size after decode=614400 bytes, type=P, timestamp=4.240 seconds
frame #108: size before decode=530 bytes, size after decode=614400 bytes, type=P, timestamp=4.280 seconds
frame #109: size before decode=4303 bytes, size after decode=614400 bytes, type=P, timestamp=4.320 seconds
frame #110: size before decode=4216 bytes, size after decode=614400 bytes, type=P, timestamp=4.360 seconds
frame #111: size before decode=4568 bytes, size after decode=614400 bytes, type=P, timestamp=4.400 seconds
frame #112: size before decode=4460 bytes, size after decode=614400 bytes, type=P, timestamp=4.440 seconds
frame #113: size before decode=4391 bytes, size after decode=614400 bytes, type=P, timestamp=4.480 seconds
frame #114: size before decode=5846 bytes, size after decode=614400 bytes, type=P, timestamp=4.520 seconds
