print meta info for videos/6422380-hd_1280_720_30fps.mp4:
  duration time: 15.79 秒
  file size: 5.10 MB
  frame rate: 29.97 fps
  decoder: H.264 / AVC / MPEG-4 AVC / MPEG-4 part 10

帧类型与大小统计:
frame #1: size before decode=3895 bytes, size after decode=1843200 bytes, type=I, timestamp=0.000 seconds
frame #2: size before decode=2552 bytes, size after decode=1843200 bytes, type=B, timestamp=0.033 seconds
frame #3: size before decode=29646 bytes, size after decode=1843200 bytes, type=B, timestamp=0.067 seconds
frame #4: size before decode=4541 bytes, size after decode=1843200 bytes, type=P, timestamp=0.100 seconds
frame #5: size before decode=2503 bytes, size after decode=1843200 bytes, type=B, timestamp=0.133 seconds
frame #6: size before decode=2262 bytes, size after decode=1843200 bytes, type=B, timestamp=0.167 seconds
frame #7: size before decode=33581 bytes, size after decode=1843200 bytes, type=B, timestamp=0.200 seconds
frame #8: size before decode=4258 bytes, size after decode=1843200 bytes, type=P, timestamp=0.234 seconds
frame #9: size before decode=2231 bytes, size after decode=1843200 bytes, type=B, timestamp=0.267 seconds
frame #10: size before decode=2044 bytes, size after decode=1843200 bytes, type=B, timestamp=0.300 seconds
frame #11: size before decode=21925 bytes, size after decode=1843200 bytes, type=B, timestamp=0.334 seconds
frame #12: size before decode=2557 bytes, size after decode=1843200 bytes, type=P, timestamp=0.367 seconds
frame #13: size before decode=2108 bytes, size after decode=1843200 bytes, type=B, timestamp=0.400 seconds
frame #14: size before decode=41289 bytes, size after decode=1843200 bytes, type=B, timestamp=0.434 seconds
frame #15: size before decode=4357 bytes, size after decode=1843200 bytes, type=P, timestamp=0.467 seconds
frame #16: size before decode=2344 bytes, size after decode=1843200 bytes, type=B, timestamp=0.501 seconds
frame #17: size before decode=1545 bytes, size after decode=1843200 bytes, type=B, timestamp=0.534 seconds
frame #18: size before decode=25018 bytes, size after decode=1843200 bytes, type=B, timestamp=0.567 seconds
frame #19: size before decode=3142 bytes, size after decode=1843200 bytes, type=P, timestamp=0.601 seconds
