print meta info for videos/13664056_1280_720_30fps.mp4:
  duration time: 8.77 秒
  file size: 1.49 MB
  frame rate: 30.00 fps
  decoder: H.264 / AVC / MPEG-4 AVC / MPEG-4 part 10

帧类型与大小统计:
frame #1: size before decode=10843 bytes, size after decode=1843200 bytes, type=I, timestamp=0.000 seconds
frame #2: size before decode=7092 bytes, size after decode=1843200 bytes, type=P, timestamp=0.033 seconds
frame #3: size before decode=5829 bytes, size after decode=1843200 bytes, type=B, timestamp=0.067 seconds
frame #4: size before decode=4716 bytes, size after decode=1843200 bytes, type=B, timestamp=0.100 seconds
frame #5: size before decode=9722 bytes, size after decode=1843200 bytes, type=B, timestamp=0.133 seconds
frame #6: size before decode=6362 bytes, size after decode=1843200 bytes, type=P, timestamp=0.167 seconds
frame #7: size before decode=5122 bytes, size after decode=1843200 bytes, type=B, timestamp=0.200 seconds
frame #8: size before decode=4228 bytes, size after decode=1843200 bytes, type=B, timestamp=0.233 seconds
frame #9: size before decode=9083 bytes, size after decode=1843200 bytes, type=B, timestamp=0.267 seconds
frame #10: size before decode=5795 bytes, size after decode=1843200 bytes, type=P, timestamp=0.300 seconds
frame #11: size before decode=4365 bytes, size after decode=1843200 bytes, type=B, timestamp=0.333 seconds
frame #12: size before decode=4131 bytes, size after decode=1843200 bytes, type=B, timestamp=0.367 seconds
frame #13: size before decode=7755 bytes, size after decode=1843200 bytes, type=B, timestamp=0.400 seconds
frame #14: size before decode=5554 bytes, size after decode=1843200 bytes, type=P, timestamp=0.433 seconds
frame #15: size before decode=3924 bytes, size after decode=1843200 bytes, type=B, timestamp=0.467 seconds
frame #16: size before decode=4066 bytes, size after decode=1843200 bytes, type=B, timestamp=0.500 seconds
frame #17: size before decode=6005 bytes, size after decode=1843200 bytes, type=B, timestamp=0.533 seconds
frame #18: size before decode=7700 bytes, size after decode=1843200 bytes, type=P, timestamp=0.567 seconds
frame #19: size before decode=5292 bytes, size after decode=1843200 bytes, type=P, timestamp=0.600 seconds
frame #20: size before decode=3811 bytes, size after decode=1843200 bytes, type=B, timestamp=0.633 seconds
frame #21: size before decode=3817 bytes, size after decode=1843200 bytes, type=B, timestamp=0.667 seconds
frame #22: size before decode=7246 bytes, size after decode=1843200 bytes, type=B, timestamp=0.700 seconds
frame #23: size before decode=5761 bytes, size after decode=1843200 bytes, type=P, timestamp=0.733 seconds
frame #24: size before decode=3847 bytes, size after decode=1843200 bytes, type=B, timestamp=0.767 seconds
frame #25: size before decode=3992 bytes, size after decode=1843200 bytes, type=B, timestamp=0.800 seconds
frame #26: size before decode=7296 bytes, size after decode=1843200 bytes, type=B, timestamp=0.833 seconds
frame #27: size before decode=5203 bytes, size after decode=1843200 bytes, type=P, timestamp=0.867 seconds
frame #28: size before decode=3757 bytes, size after decode=1843200 bytes, type=B, timestamp=0.900 seconds
frame #29: size before decode=3948 bytes, size after decode=1843200 bytes, type=B, timestamp=0.933 seconds
frame #30: size before decode=8133 bytes, size after decode=1843200 bytes, type=B, timestamp=0.967 seconds
frame #31: size before decode=5726 bytes, size after decode=1843200 bytes, type=P, timestamp=1.000 seconds
