print meta info for videos/7505643-uhd_2160_3840_30fps.mp4:
  duration time: 14.23 秒
  file size: 19.30 MB
  frame rate: 30.00 fps
  decoder: H.264 / AVC / MPEG-4 AVC / MPEG-4 part 10

帧类型与大小统计:
frame #1: size before decode=43583 bytes, size after decode=16711680 bytes, type=I, timestamp=0.000 seconds
frame #2: size before decode=31322 bytes, size after decode=16711680 bytes, type=B, timestamp=0.033 seconds
frame #3: size before decode=17617 bytes, size after decode=16711680 bytes, type=B, timestamp=0.067 seconds
frame #4: size before decode=81378 bytes, size after decode=16711680 bytes, type=B, timestamp=0.100 seconds
frame #5: size before decode=31102 bytes, size after decode=16711680 bytes, type=P, timestamp=0.133 seconds
frame #6: size before decode=29477 bytes, size after decode=16711680 bytes, type=B, timestamp=0.167 seconds
frame #7: size before decode=15266 bytes, size after decode=16711680 bytes, type=B, timestamp=0.200 seconds
frame #8: size before decode=78339 bytes, size after decode=16711680 bytes, type=B, timestamp=0.233 seconds
frame #9: size before decode=32445 bytes, size after decode=16711680 bytes, type=P, timestamp=0.267 seconds
frame #10: size before decode=26763 bytes, size after decode=16711680 bytes, type=B, timestamp=0.300 seconds
frame #11: size before decode=18540 bytes, size after decode=16711680 bytes, type=B, timestamp=0.333 seconds
frame #12: size before decode=92123 bytes, size after decode=16711680 bytes, type=B, timestamp=0.367 seconds
frame #13: size before decode=32905 bytes, size after decode=16711680 bytes, type=P, timestamp=0.400 seconds
frame #14: size before decode=30038 bytes, size after decode=16711680 bytes, type=B, timestamp=0.433 seconds
frame #15: size before decode=25057 bytes, size after decode=16711680 bytes, type=B, timestamp=0.467 seconds
frame #16: size before decode=118063 bytes, size after decode=16711680 bytes, type=B, timestamp=0.500 seconds
frame #17: size before decode=37252 bytes, size after decode=16711680 bytes, type=P, timestamp=0.533 seconds
frame #18: size before decode=32545 bytes, size after decode=16711680 bytes, type=B, timestamp=0.567 seconds
frame #19: size before decode=31665 bytes, size after decode=16711680 bytes, type=B, timestamp=0.600 seconds
frame #20: size before decode=117158 bytes, size after decode=16711680 bytes, type=B, timestamp=0.633 seconds
frame #21: size before decode=40690 bytes, size after decode=16711680 bytes, type=P, timestamp=0.667 seconds
frame #22: size before decode=34901 bytes, size after decode=16711680 bytes, type=B, timestamp=0.700 seconds
frame #23: size before decode=19648 bytes, size after decode=16711680 bytes, type=B, timestamp=0.733 seconds
