print meta info for videos/sample_3840x2160.flv:
  duration time: 28.24 秒
  file size: 34.89 MB
  frame rate: 23.98 fps
  decoder: FLV / Sorenson Spark / Sorenson H.263 (Flash Video)

帧类型与大小统计:
frame #1: size before decode=633581 bytes, size after decode=16588800 bytes, type=I, timestamp=0.000 seconds
frame #2: size before decode=186367 bytes, size after decode=16588800 bytes, type=P, timestamp=0.042 seconds
frame #3: size before decode=154221 bytes, size after decode=16588800 bytes, type=P, timestamp=0.083 seconds
frame #4: size before decode=142746 bytes, size after decode=16588800 bytes, type=P, timestamp=0.125 seconds
frame #5: size before decode=49201 bytes, size after decode=16588800 bytes, type=P, timestamp=0.167 seconds
frame #6: size before decode=39876 bytes, size after decode=16588800 bytes, type=P, timestamp=0.209 seconds
frame #7: size before decode=57074 bytes, size after decode=16588800 bytes, type=P, timestamp=0.250 seconds
frame #8: size before decode=32524 bytes, size after decode=16588800 bytes, type=P, timestamp=0.292 seconds
frame #9: size before decode=33777 bytes, size after decode=16588800 bytes, type=P, timestamp=0.334 seconds
frame #10: size before decode=31600 bytes, size after decode=16588800 bytes, type=P, timestamp=0.375 seconds
frame #11: size before decode=50116 bytes, size after decode=16588800 bytes, type=P, timestamp=0.417 seconds
frame #12: size before decode=27855 bytes, size after decode=16588800 bytes, type=P, timestamp=0.459 seconds
frame #13: size before decode=352389 bytes, size after decode=16588800 bytes, type=I, timestamp=0.501 seconds
frame #14: size before decode=21769 bytes, size after decode=16588800 bytes, type=P, timestamp=0.542 seconds
frame #15: size before decode=32180 bytes, size after decode=16588800 bytes, type=P, timestamp=0.584 seconds
frame #16: size before decode=26679 bytes, size after decode=16588800 bytes, type=P, timestamp=0.626 seconds
frame #17: size before decode=44091 bytes, size after decode=16588800 bytes, type=P, timestamp=0.667 seconds
frame #18: size before decode=29271 bytes, size after decode=16588800 bytes, type=P, timestamp=0.709 seconds
frame #19: size before decode=39541 bytes, size after decode=16588800 bytes, type=P, timestamp=0.751 seconds
frame #20: size before decode=31426 bytes, size after decode=16588800 bytes, type=P, timestamp=0.792 seconds
frame #21: size before decode=31005 bytes, size after decode=16588800 bytes, type=P, timestamp=0.834 seconds
frame #22: size before decode=32110 bytes, size after decode=16588800 bytes, type=P, timestamp=0.876 seconds
frame #23: size before decode=59171 bytes, size after decode=16588800 bytes, type=P, timestamp=0.918 seconds
frame #24: size before decode=27901 bytes, size after decode=16588800 bytes, type=P, timestamp=0.959 seconds
frame #25: size before decode=350571 bytes, size after decode=16588800 bytes, type=I, timestamp=1.001 seconds
frame #26: size before decode=22927 bytes, size after decode=16588800 bytes, type=P, timestamp=1.043 seconds
frame #27: size before decode=31056 bytes, size after decode=16588800 bytes, type=P, timestamp=1.084 seconds
frame #28: size before decode=25718 bytes, size after decode=16588800 bytes, type=P, timestamp=1.126 seconds
frame #29: size before decode=29546 bytes, size after decode=16588800 bytes, type=P, timestamp=1.168 seconds
frame #30: size before decode=44576 bytes, size after decode=16588800 bytes, type=P, timestamp=1.210 seconds
frame #31: size before decode=38717 bytes, size after decode=16588800 bytes, type=P, timestamp=1.251 seconds
frame #32: size before decode=28889 bytes, size after decode=16588800 bytes, type=P, timestamp=1.293 seconds
