print meta info for videos/13323400-hd_1920_1080_30fps.mp4:
  duration time: 51.05 秒
  file size: 34.07 MB
  frame rate: 29.97 fps
  decoder: H.264 / AVC / MPEG-4 AVC / MPEG-4 part 10

帧类型与大小统计:
frame #1: size before decode=22641 bytes, size after decode=4147200 bytes, type=I, timestamp=0.000 seconds
frame #2: size before decode=12045 bytes, size after decode=4147200 bytes, type=B, timestamp=0.033 seconds
frame #3: size before decode=9369 bytes, size after decode=4147200 bytes, type=B, timestamp=0.067 seconds
frame #4: size before decode=61237 bytes, size after decode=4147200 bytes, type=B, timestamp=0.100 seconds
frame #5: size before decode=15588 bytes, size after decode=4147200 bytes, type=P, timestamp=0.133 seconds
frame #6: size before decode=7906 bytes, size after decode=4147200 bytes, type=B, timestamp=0.167 seconds
frame #7: size before decode=8720 bytes, size after decode=4147200 bytes, type=B, timestamp=0.200 seconds
frame #8: size before decode=64584 bytes, size after decode=4147200 bytes, type=B, timestamp=0.234 seconds
frame #9: size before decode=17621 bytes, size after decode=4147200 bytes, type=P, timestamp=0.267 seconds
frame #10: size before decode=15833 bytes, size after decode=4147200 bytes, type=B, timestamp=0.300 seconds
frame #11: size before decode=77353 bytes, size after decode=4147200 bytes, type=B, timestamp=0.334 seconds
frame #12: size before decode=28457 bytes, size after decode=4147200 bytes, type=P, timestamp=0.367 seconds
frame #13: size before decode=15772 bytes, size after decode=4147200 bytes, type=B, timestamp=0.400 seconds
frame #14: size before decode=13716 bytes, size after decode=4147200 bytes, type=B, timestamp=0.434 seconds
frame #15: size before decode=66844 bytes, size after decode=4147200 bytes, type=B, timestamp=0.467 seconds
frame #16: size before decode=23744 bytes, size after decode=4147200 bytes, type=P, timestamp=0.501 seconds
frame #17: size before decode=12550 bytes, size after decode=4147200 bytes, type=B, timestamp=0.534 seconds
frame #18: size before decode=11018 bytes, size after decode=4147200 bytes, type=B, timestamp=0.567 seconds
frame #19: size before decode=68164 bytes, size after decode=4147200 bytes, type=B, timestamp=0.601 seconds
frame #20: size before decode=22743 bytes, size after decode=4147200 bytes, type=P, timestamp=0.634 seconds
frame #21: size before decode=12550 bytes, size after decode=4147200 bytes, type=B, timestamp=0.667 seconds
frame #22: size before decode=13625 bytes, size after decode=4147200 bytes, type=B, timestamp=0.701 seconds
frame #23: size before decode=62586 bytes, size after decode=4147200 bytes, type=B, timestamp=0.734 seconds
frame #24: size before decode=16903 bytes, size after decode=4147200 bytes, type=P, timestamp=0.767 seconds
frame #25: size before decode=13826 bytes, size after decode=4147200 bytes, type=B, timestamp=0.801 seconds
frame #26: size before decode=72847 bytes, size after decode=4147200 bytes, type=B, timestamp=0.834 seconds
frame #27: size before decode=24910 bytes, size after decode=4147200 bytes, type=P, timestamp=0.868 seconds
frame #28: size before decode=13594 bytes, size after decode=4147200 bytes, type=B, timestamp=0.901 seconds
frame #29: size before decode=13479 bytes, size after decode=4147200 bytes, type=B, timestamp=0.934 seconds
frame #30: size before decode=63736 bytes, size after decode=4147200 bytes, type=B, timestamp=0.968 seconds
frame #31: size before decode=28770 bytes, size after decode=4147200 bytes, type=P, timestamp=1.001 seconds
frame #32: size before decode=13920 bytes, size after decode=4147200 bytes, type=B, timestamp=1.034 seconds
frame #33: size before decode=15143 bytes, size after decode=4147200 bytes, type=B, timestamp=1.068 seconds
frame #34: size before decode=69756 bytes, size after decode=4147200 bytes, type=B, timestamp=1.101 seconds
frame #35: size before decode=28703 bytes, size after decode=4147200 bytes, type=P, timestamp=1.134 seconds
frame #36: size before decode=15797 bytes, size after decode=4147200 bytes, type=B, timestamp=1.168 seconds
frame #37: size before decode=16721 bytes, size after decode=4147200 bytes, type=B, timestamp=1.201 seconds
frame #38: size before decode=68984 bytes, size after decode=4147200 bytes, type=B, timestamp=1.235 seconds
frame #39: size before decode=27124 bytes, size after decode=4147200 bytes, type=P, timestamp=1.268 seconds
frame #40: size before decode=16631 bytes, size after decode=4147200 bytes, type=B, timestamp=1.301 seconds
