print meta info for videos/19022223-uhd_3840_2160_60fps.mp4:
  duration time: 42.67 秒
  file size: 126.39 MB
  frame rate: 59.94 fps
  decoder: H.264 / AVC / MPEG-4 AVC / MPEG-4 part 10

帧类型与大小统计:
frame #1: size before decode=25766 bytes, size after decode=16588800 bytes, type=I, timestamp=0.000 seconds
frame #2: size before decode=16037 bytes, size after decode=16588800 bytes, type=B, timestamp=0.017 seconds
frame #3: size before decode=12085 bytes, size after decode=16588800 bytes, type=B, timestamp=0.033 seconds
frame #4: size before decode=144713 bytes, size after decode=16588800 bytes, type=B, timestamp=0.050 seconds
frame #5: size before decode=14992 bytes, size after decode=16588800 bytes, type=P, timestamp=0.067 seconds
frame #6: size before decode=12624 bytes, size after decode=16588800 bytes, type=B, timestamp=0.083 seconds
frame #7: size before decode=192902 bytes, size after decode=16588800 bytes, type=B, timestamp=0.100 seconds
frame #8: size before decode=30040 bytes, size after decode=16588800 bytes, type=P, timestamp=0.117 seconds
frame #9: size before decode=21880 bytes, size after decode=16588800 bytes, type=B, timestamp=0.133 seconds
frame #10: size before decode=13745 bytes, size after decode=16588800 bytes, type=B, timestamp=0.150 seconds
frame #11: size before decode=172388 bytes, size after decode=16588800 bytes, type=B, timestamp=0.167 seconds
frame #12: size before decode=28138 bytes, size after decode=16588800 bytes, type=P, timestamp=0.184 seconds
frame #13: size before decode=20250 bytes, size after decode=16588800 bytes, type=B, timestamp=0.200 seconds
frame #14: size before decode=13991 bytes, size after decode=16588800 bytes, type=B, timestamp=0.217 seconds
frame #15: size before decode=164804 bytes, size after decode=16588800 bytes, type=B, timestamp=0.234 seconds
frame #16: size before decode=28421 bytes, size after decode=16588800 bytes, type=P, timestamp=0.250 seconds
frame #17: size before decode=20685 bytes, size after decode=16588800 bytes, type=B, timestamp=0.267 seconds
frame #18: size before decode=13971 bytes, size after decode=16588800 bytes, type=B, timestamp=0.284 seconds
frame #19: size before decode=141534 bytes, size after decode=16588800 bytes, type=B, timestamp=0.300 seconds
frame #20: size before decode=26403 bytes, size after decode=16588800 bytes, type=P, timestamp=0.317 seconds
frame #21: size before decode=19497 bytes, size after decode=16588800 bytes, type=B, timestamp=0.334 seconds
frame #22: size before decode=13070 bytes, size after decode=16588800 bytes, type=B, timestamp=0.350 seconds
frame #23: size before decode=148517 bytes, size after decode=16588800 bytes, type=B, timestamp=0.367 seconds
frame #24: size before decode=31967 bytes, size after decode=16588800 bytes, type=P, timestamp=0.384 seconds
frame #25: size before decode=23239 bytes, size after decode=16588800 bytes, type=B, timestamp=0.400 seconds
frame #26: size before decode=14013 bytes, size after decode=16588800 bytes, type=B, timestamp=0.417 seconds
frame #27: size before decode=171800 bytes, size after decode=16588800 bytes, type=B, timestamp=0.434 seconds
frame #28: size before decode=22835 bytes, size after decode=16588800 bytes, type=P, timestamp=0.450 seconds
frame #29: size before decode=15478 bytes, size after decode=16588800 bytes, type=B, timestamp=0.467 seconds
frame #30: size before decode=12741 bytes, size after decode=16588800 bytes, type=B, timestamp=0.484 seconds
frame #31: size before decode=100852 bytes, size after decode=16588800 bytes, type=B, timestamp=0.501 seconds
frame #32: size before decode=19368 bytes, size after decode=16588800 bytes, type=P, timestamp=0.517 seconds
frame #33: size before decode=14559 bytes, size after decode=16588800 bytes, type=B, timestamp=0.534 seconds
frame #34: size before decode=11258 bytes, size after decode=16588800 bytes, type=B, timestamp=0.551 seconds
frame #35: size before decode=82586 bytes, size after decode=16588800 bytes, type=B, timestamp=0.567 seconds
frame #36: size before decode=16287 bytes, size after decode=16588800 bytes, type=P, timestamp=0.584 seconds
frame #37: size before decode=13837 bytes, size after decode=16588800 bytes, type=B, timestamp=0.601 seconds
frame #38: size before decode=9939 bytes, size after decode=16588800 bytes, type=B, timestamp=0.617 seconds
frame #39: size before decode=77415 bytes, size after decode=16588800 bytes, type=B, timestamp=0.634 seconds
frame #40: size before decode=15063 bytes, size after decode=16588800 bytes, type=P, timestamp=0.651 seconds
frame #41: size before decode=12739 bytes, size after decode=16588800 bytes, type=B, timestamp=0.667 seconds
frame #42: size before decode=9678 bytes, size after decode=16588800 bytes, type=B, timestamp=0.684 seconds
frame #43: size before decode=63970 bytes, size after decode=16588800 bytes, type=B, timestamp=0.701 seconds
frame #44: size before decode=13954 bytes, size after decode=16588800 bytes, type=P, timestamp=0.717 seconds
frame #45: size before decode=11373 bytes, size after decode=16588800 bytes, type=B, timestamp=0.734 seconds
frame #46: size before decode=8871 bytes, size after decode=16588800 bytes, type=B, timestamp=0.751 seconds
frame #47: size before decode=62527 bytes, size after decode=16588800 bytes, type=B, timestamp=0.767 seconds
frame #48: size before decode=13596 bytes, size after decode=16588800 bytes, type=P, timestamp=0.784 seconds
frame #49: size before decode=8410 bytes, size after decode=16588800 bytes, type=B, timestamp=0.801 seconds
frame #50: size before decode=8754 bytes, size after decode=16588800 bytes, type=B, timestamp=0.817 seconds
frame #51: size before decode=104994 bytes, size after decode=16588800 bytes, type=B, timestamp=0.834 seconds
frame #52: size before decode=16216 bytes, size after decode=16588800 bytes, type=P, timestamp=0.851 seconds
frame #53: size before decode=8386 bytes, size after decode=16588800 bytes, type=B, timestamp=0.868 seconds
frame #54: size before decode=10910 bytes, size after decode=16588800 bytes, type=B, timestamp=0.884 seconds
frame #55: size before decode=127162 bytes, size after decode=16588800 bytes, type=B, timestamp=0.901 seconds
frame #56: size before decode=19562 bytes, size after decode=16588800 bytes, type=P, timestamp=0.918 seconds
frame #57: size before decode=11314 bytes, size after decode=16588800 bytes, type=B, timestamp=0.934 seconds
frame #58: size before decode=9107 bytes, size after decode=16588800 bytes, type=B, timestamp=0.951 seconds
frame #59: size before decode=167286 bytes, size after decode=16588800 bytes, type=B, timestamp=0.968 seconds
frame #60: size before decode=23464 bytes, size after decode=16588800 bytes, type=P, timestamp=0.984 seconds
frame #61: size before decode=12517 bytes, size after decode=16588800 bytes, type=B, timestamp=1.001 seconds
frame #62: size before decode=9520 bytes, size after decode=16588800 bytes, type=B, timestamp=1.018 seconds
frame #63: size before decode=147905 bytes, size after decode=16588800 bytes, type=B, timestamp=1.034 seconds
frame #64: size before decode=19876 bytes, size after decode=16588800 bytes, type=P, timestamp=1.051 seconds
frame #65: size before decode=10681 bytes, size after decode=16588800 bytes, type=B, timestamp=1.068 seconds
frame #66: size before decode=10212 bytes, size after decode=16588800 bytes, type=B, timestamp=1.084 seconds
frame #67: size before decode=147658 bytes, size after decode=16588800 bytes, type=B, timestamp=1.101 seconds
frame #68: size before decode=22810 bytes, size after decode=16588800 bytes, type=P, timestamp=1.118 seconds
frame #69: size before decode=12268 bytes, size after decode=16588800 bytes, type=B, timestamp=1.134 seconds
frame #70: size before decode=11879 bytes, size after decode=16588800 bytes, type=B, timestamp=1.151 seconds
frame #71: size before decode=138521 bytes, size after decode=16588800 bytes, type=B, timestamp=1.168 seconds
frame #72: size before decode=23632 bytes, size after decode=16588800 bytes, type=P, timestamp=1.185 seconds
frame #73: size before decode=12706 bytes, size after decode=16588800 bytes, type=B, timestamp=1.201 seconds
frame #74: size before decode=12514 bytes, size after decode=16588800 bytes, type=B, timestamp=1.218 seconds
frame #75: size before decode=133774 bytes, size after decode=16588800 bytes, type=B, timestamp=1.235 seconds
frame #76: size before decode=23624 bytes, size after decode=16588800 bytes, type=P, timestamp=1.251 seconds
frame #77: size before decode=12895 bytes, size after decode=16588800 bytes, type=B, timestamp=1.268 seconds
frame #78: size before decode=12539 bytes, size after decode=16588800 bytes, type=B, timestamp=1.285 seconds
frame #79: size before decode=133158 bytes, size after decode=16588800 bytes, type=B, timestamp=1.301 seconds
frame #80: size before decode=23514 bytes, size after decode=16588800 bytes, type=P, timestamp=1.318 seconds
frame #81: size before decode=12816 bytes, size after decode=16588800 bytes, type=B, timestamp=1.335 seconds
frame #82: size before decode=12955 bytes, size after decode=16588800 bytes, type=B, timestamp=1.351 seconds
frame #83: size before decode=150034 bytes, size after decode=16588800 bytes, type=B, timestamp=1.368 seconds
frame #84: size before decode=31041 bytes, size after decode=16588800 bytes, type=P, timestamp=1.385 seconds
frame #85: size before decode=15651 bytes, size after decode=16588800 bytes, type=B, timestamp=1.401 seconds
frame #86: size before decode=14753 bytes, size after decode=16588800 bytes, type=B, timestamp=1.418 seconds
frame #87: size before decode=160864 bytes, size after decode=16588800 bytes, type=B, timestamp=1.435 seconds
frame #88: size before decode=21960 bytes, size after decode=16588800 bytes, type=P, timestamp=1.451 seconds
frame #89: size before decode=11369 bytes, size after decode=16588800 bytes, type=B, timestamp=1.468 seconds
frame #90: size before decode=13155 bytes, size after decode=16588800 bytes, type=B, timestamp=1.485 seconds
frame #91: size before decode=128209 bytes, size after decode=16588800 bytes, type=B, timestamp=1.502 seconds
frame #92: size before decode=21331 bytes, size after decode=16588800 bytes, type=P, timestamp=1.518 seconds
frame #93: size before decode=11882 bytes, size after decode=16588800 bytes, type=B, timestamp=1.535 seconds
frame #94: size before decode=11138 bytes, size after decode=16588800 bytes, type=B, timestamp=1.552 seconds
frame #95: size before decode=120524 bytes, size after decode=16588800 bytes, type=B, timestamp=1.568 seconds
frame #96: size before decode=22407 bytes, size after decode=16588800 bytes, type=P, timestamp=1.585 seconds
frame #97: size before decode=12277 bytes, size after decode=16588800 bytes, type=B, timestamp=1.602 seconds
frame #98: size before decode=12058 bytes, size after decode=16588800 bytes, type=B, timestamp=1.618 seconds
frame #99: size before decode=120999 bytes, size after decode=16588800 bytes, type=B, timestamp=1.635 seconds
frame #100: size before decode=21800 bytes, size after decode=16588800 bytes, type=P, timestamp=1.652 seconds
frame #101: size before decode=12082 bytes, size after decode=16588800 bytes, type=B, timestamp=1.668 seconds
frame #102: size before decode=11556 bytes, size after decode=16588800 bytes, type=B, timestamp=1.685 seconds
frame #103: size before decode=116315 bytes, size after decode=16588800 bytes, type=B, timestamp=1.702 seconds
frame #104: size before decode=21340 bytes, size after decode=16588800 bytes, type=P, timestamp=1.718 seconds
frame #105: size before decode=11658 bytes, size after decode=16588800 bytes, type=B, timestamp=1.735 seconds
frame #106: size before decode=12390 bytes, size after decode=16588800 bytes, type=B, timestamp=1.752 seconds
frame #107: size before decode=132979 bytes, size after decode=16588800 bytes, type=B, timestamp=1.768 seconds
frame #108: size before decode=21854 bytes, size after decode=16588800 bytes, type=P, timestamp=1.785 seconds
frame #109: size before decode=12941 bytes, size after decode=16588800 bytes, type=B, timestamp=1.802 seconds
frame #110: size before decode=11726 bytes, size after decode=16588800 bytes, type=B, timestamp=1.818 seconds
frame #111: size before decode=162297 bytes, size after decode=16588800 bytes, type=B, timestamp=1.835 seconds
frame #112: size before decode=29249 bytes, size after decode=16588800 bytes, type=P, timestamp=1.852 seconds
frame #113: size before decode=13120 bytes, size after decode=16588800 bytes, type=B, timestamp=1.869 seconds
frame #114: size before decode=17480 bytes, size after decode=16588800 bytes, type=B, timestamp=1.885 seconds
frame #115: size before decode=119995 bytes, size after decode=16588800 bytes, type=B, timestamp=1.902 seconds
frame #116: size before decode=27297 bytes, size after decode=16588800 bytes, type=P, timestamp=1.919 seconds
frame #117: size before decode=15862 bytes, size after decode=16588800 bytes, type=B, timestamp=1.935 seconds
frame #118: size before decode=11636 bytes, size after decode=16588800 bytes, type=B, timestamp=1.952 seconds
frame #119: size before decode=190180 bytes, size after decode=16588800 bytes, type=B, timestamp=1.969 seconds
