print meta info for videos/18823686-hd_720_1280_30fps.mp4:
  duration time: 4.33 秒
  file size: 1.73 MB
  frame rate: 29.97 fps
  decoder: H.264 / AVC / MPEG-4 AVC / MPEG-4 part 10

帧类型与大小统计:
frame #1: size before decode=9576 bytes, size after decode=1966080 bytes, type=I, timestamp=0.000 seconds
frame #2: size before decode=7799 bytes, size after decode=1966080 bytes, type=B, timestamp=0.033 seconds
frame #3: size before decode=6527 bytes, size after decode=1966080 bytes, type=B, timestamp=0.067 seconds
frame #4: size before decode=24332 bytes, size after decode=1966080 bytes, type=B, timestamp=0.100 seconds
frame #5: size before decode=7883 bytes, size after decode=1966080 bytes, type=P, timestamp=0.133 seconds
frame #6: size before decode=11356 bytes, size after decode=1966080 bytes, type=B, timestamp=0.167 seconds
frame #7: size before decode=6339 bytes, size after decode=1966080 bytes, type=B, timestamp=0.200 seconds
frame #8: size before decode=20412 bytes, size after decode=1966080 bytes, type=B, timestamp=0.234 seconds
frame #9: size before decode=8745 bytes, size after decode=1966080 bytes, type=P, timestamp=0.267 seconds
frame #10: size before decode=8462 bytes, size after decode=1966080 bytes, type=B, timestamp=0.300 seconds
frame #11: size before decode=8082 bytes, size after decode=1966080 bytes, type=B, timestamp=0.334 seconds
frame #12: size before decode=18693 bytes, size after decode=1966080 bytes, type=B, timestamp=0.367 seconds
frame #13: size before decode=6879 bytes, size after decode=1966080 bytes, type=P, timestamp=0.400 seconds
frame #14: size before decode=5840 bytes, size after decode=1966080 bytes, type=B, timestamp=0.434 seconds
frame #15: size before decode=6430 bytes, size after decode=1966080 bytes, type=B, timestamp=0.467 seconds
frame #16: size before decode=17914 bytes, size after decode=1966080 bytes, type=B, timestamp=0.501 seconds
frame #17: size before decode=9376 bytes, size after decode=1966080 bytes, type=P, timestamp=0.534 seconds
frame #18: size before decode=5798 bytes, size after decode=1966080 bytes, type=B, timestamp=0.567 seconds
frame #19: size before decode=6164 bytes, size after decode=1966080 bytes, type=B, timestamp=0.601 seconds
frame #20: size before decode=19018 bytes, size after decode=1966080 bytes, type=B, timestamp=0.634 seconds
frame #21: size before decode=9057 bytes, size after decode=1966080 bytes, type=P, timestamp=0.667 seconds
frame #22: size before decode=7126 bytes, size after decode=1966080 bytes, type=B, timestamp=0.701 seconds
frame #23: size before decode=7296 bytes, size after decode=1966080 bytes, type=B, timestamp=0.734 seconds
frame #24: size before decode=17435 bytes, size after decode=1966080 bytes, type=B, timestamp=0.767 seconds
frame #25: size before decode=8706 bytes, size after decode=1966080 bytes, type=P, timestamp=0.801 seconds
frame #26: size before decode=7261 bytes, size after decode=1966080 bytes, type=B, timestamp=0.834 seconds
frame #27: size before decode=6478 bytes, size after decode=1966080 bytes, type=B, timestamp=0.868 seconds
frame #28: size before decode=20161 bytes, size after decode=1966080 bytes, type=B, timestamp=0.901 seconds
frame #29: size before decode=6459 bytes, size after decode=1966080 bytes, type=P, timestamp=0.934 seconds
frame #30: size before decode=8354 bytes, size after decode=1966080 bytes, type=B, timestamp=0.968 seconds
frame #31: size before decode=5577 bytes, size after decode=1966080 bytes, type=B, timestamp=1.001 seconds
frame #32: size before decode=17334 bytes, size after decode=1966080 bytes, type=B, timestamp=1.034 seconds
frame #33: size before decode=7152 bytes, size after decode=1966080 bytes, type=P, timestamp=1.068 seconds
frame #34: size before decode=7913 bytes, size after decode=1966080 bytes, type=B, timestamp=1.101 seconds
frame #35: size before decode=6403 bytes, size after decode=1966080 bytes, type=B, timestamp=1.134 seconds
frame #36: size before decode=19040 bytes, size after decode=1966080 bytes, type=B, timestamp=1.168 seconds
frame #37: size before decode=7656 bytes, size after decode=1966080 bytes, type=P, timestamp=1.201 seconds
frame #38: size before decode=7108 bytes, size after decode=1966080 bytes, type=B, timestamp=1.235 seconds
frame #39: size before decode=6697 bytes, size after decode=1966080 bytes, type=B, timestamp=1.268 seconds
frame #40: size before decode=18775 bytes, size after decode=1966080 bytes, type=B, timestamp=1.301 seconds
