print meta info for videos/13754369_360_640_60fps.mp4:
  duration time: 14.55 秒
  file size: 0.64 MB
  frame rate: 60.00 fps
  decoder: H.264 / AVC / MPEG-4 AVC / MPEG-4 part 10

帧类型与大小统计:
frame #1: size before decode=55 bytes, size after decode=491520 bytes, type=I, timestamp=0.000 seconds
frame #2: size before decode=997 bytes, size after decode=491520 bytes, type=B, timestamp=0.017 seconds
frame #3: size before decode=113 bytes, size after decode=491520 bytes, type=P, timestamp=0.033 seconds
frame #4: size before decode=82 bytes, size after decode=491520 bytes, type=B, timestamp=0.050 seconds
frame #5: size before decode=51 bytes, size after decode=491520 bytes, type=B, timestamp=0.067 seconds
frame #6: size before decode=2125 bytes, size after decode=491520 bytes, type=B, timestamp=0.083 seconds
frame #7: size before decode=240 bytes, size after decode=491520 bytes, type=P, timestamp=0.100 seconds
frame #8: size before decode=179 bytes, size after decode=491520 bytes, type=B, timestamp=0.117 seconds
frame #9: size before decode=86 bytes, size after decode=491520 bytes, type=B, timestamp=0.133 seconds
frame #10: size before decode=1993 bytes, size after decode=491520 bytes, type=B, timestamp=0.150 seconds
frame #11: size before decode=168 bytes, size after decode=491520 bytes, type=P, timestamp=0.167 seconds
frame #12: size before decode=187 bytes, size after decode=491520 bytes, type=B, timestamp=0.183 seconds
frame #13: size before decode=44 bytes, size after decode=491520 bytes, type=B, timestamp=0.200 seconds
frame #14: size before decode=2094 bytes, size after decode=491520 bytes, type=B, timestamp=0.217 seconds
frame #15: size before decode=105 bytes, size after decode=491520 bytes, type=P, timestamp=0.233 seconds
frame #16: size before decode=121 bytes, size after decode=491520 bytes, type=B, timestamp=0.250 seconds
frame #17: size before decode=2695 bytes, size after decode=491520 bytes, type=B, timestamp=0.267 seconds
frame #18: size before decode=213 bytes, size after decode=491520 bytes, type=P, timestamp=0.283 seconds
frame #19: size before decode=132 bytes, size after decode=491520 bytes, type=B, timestamp=0.300 seconds
frame #20: size before decode=119 bytes, size after decode=491520 bytes, type=B, timestamp=0.317 seconds
frame #21: size before decode=1835 bytes, size after decode=491520 bytes, type=B, timestamp=0.333 seconds
frame #22: size before decode=210 bytes, size after decode=491520 bytes, type=P, timestamp=0.350 seconds
frame #23: size before decode=129 bytes, size after decode=491520 bytes, type=B, timestamp=0.367 seconds
frame #24: size before decode=97 bytes, size after decode=491520 bytes, type=B, timestamp=0.383 seconds
frame #25: size before decode=1793 bytes, size after decode=491520 bytes, type=B, timestamp=0.400 seconds
frame #26: size before decode=102 bytes, size after decode=491520 bytes, type=P, timestamp=0.417 seconds
frame #27: size before decode=2273 bytes, size after decode=491520 bytes, type=B, timestamp=0.433 seconds
frame #28: size before decode=93 bytes, size after decode=491520 bytes, type=P, timestamp=0.450 seconds
frame #29: size before decode=1777 bytes, size after decode=491520 bytes, type=B, timestamp=0.467 seconds
frame #30: size before decode=81 bytes, size after decode=491520 bytes, type=P, timestamp=0.483 seconds
frame #31: size before decode=1828 bytes, size after decode=491520 bytes, type=B, timestamp=0.500 seconds
frame #32: size before decode=65 bytes, size after decode=491520 bytes, type=P, timestamp=0.517 seconds
frame #33: size before decode=2639 bytes, size after decode=491520 bytes, type=B, timestamp=0.533 seconds
frame #34: size before decode=238 bytes, size after decode=491520 bytes, type=P, timestamp=0.550 seconds
frame #35: size before decode=106 bytes, size after decode=491520 bytes, type=B, timestamp=0.567 seconds
frame #36: size before decode=93 bytes, size after decode=491520 bytes, type=B, timestamp=0.583 seconds
frame #37: size before decode=1592 bytes, size after decode=491520 bytes, type=B, timestamp=0.600 seconds
frame #38: size before decode=86 bytes, size after decode=491520 bytes, type=P, timestamp=0.617 seconds
frame #39: size before decode=2397 bytes, size after decode=491520 bytes, type=B, timestamp=0.633 seconds
frame #40: size before decode=242 bytes, size after decode=491520 bytes, type=P, timestamp=0.650 seconds
frame #41: size before decode=128 bytes, size after decode=491520 bytes, type=B, timestamp=0.667 seconds
frame #42: size before decode=113 bytes, size after decode=491520 bytes, type=B, timestamp=0.683 seconds
frame #43: size before decode=2546 bytes, size after decode=491520 bytes, type=B, timestamp=0.700 seconds
