print meta info for videos/13786374_1080_1920_50fps.mp4:
  duration time: 12.12 秒
  file size: 6.32 MB
  frame rate: 50.00 fps
  decoder: H.264 / AVC / MPEG-4 AVC / MPEG-4 part 10

帧类型与大小统计:
frame #1: size before decode=6195 bytes, size after decode=4423680 bytes, type=I, timestamp=0.000 seconds
frame #2: size before decode=4108 bytes, size after decode=4423680 bytes, type=B, timestamp=0.020 seconds
frame #3: size before decode=2916 bytes, size after decode=4423680 bytes, type=B, timestamp=0.040 seconds
frame #4: size before decode=28507 bytes, size after decode=4423680 bytes, type=B, timestamp=0.060 seconds
frame #5: size before decode=4581 bytes, size after decode=4423680 bytes, type=P, timestamp=0.080 seconds
frame #6: size before decode=3640 bytes, size after decode=4423680 bytes, type=B, timestamp=0.100 seconds
frame #7: size before decode=2163 bytes, size after decode=4423680 bytes, type=B, timestamp=0.120 seconds
frame #8: size before decode=33729 bytes, size after decode=4423680 bytes, type=B, timestamp=0.140 seconds
frame #9: size before decode=5134 bytes, size after decode=4423680 bytes, type=P, timestamp=0.160 seconds
frame #10: size before decode=3876 bytes, size after decode=4423680 bytes, type=B, timestamp=0.180 seconds
frame #11: size before decode=2049 bytes, size after decode=4423680 bytes, type=B, timestamp=0.200 seconds
frame #12: size before decode=39339 bytes, size after decode=4423680 bytes, type=B, timestamp=0.220 seconds
frame #13: size before decode=3835 bytes, size after decode=4423680 bytes, type=P, timestamp=0.240 seconds
frame #14: size before decode=2398 bytes, size after decode=4423680 bytes, type=B, timestamp=0.260 seconds
frame #15: size before decode=1768 bytes, size after decode=4423680 bytes, type=B, timestamp=0.280 seconds
frame #16: size before decode=31084 bytes, size after decode=4423680 bytes, type=B, timestamp=0.300 seconds
frame #17: size before decode=3359 bytes, size after decode=4423680 bytes, type=P, timestamp=0.320 seconds
frame #18: size before decode=2221 bytes, size after decode=4423680 bytes, type=B, timestamp=0.340 seconds
frame #19: size before decode=1909 bytes, size after decode=4423680 bytes, type=B, timestamp=0.360 seconds
frame #20: size before decode=34416 bytes, size after decode=4423680 bytes, type=B, timestamp=0.380 seconds
frame #21: size before decode=3406 bytes, size after decode=4423680 bytes, type=P, timestamp=0.400 seconds
frame #22: size before decode=1786 bytes, size after decode=4423680 bytes, type=B, timestamp=0.420 seconds
frame #23: size before decode=2502 bytes, size after decode=4423680 bytes, type=B, timestamp=0.440 seconds
frame #24: size before decode=25192 bytes, size after decode=4423680 bytes, type=B, timestamp=0.460 seconds
frame #25: size before decode=3887 bytes, size after decode=4423680 bytes, type=P, timestamp=0.480 seconds
frame #26: size before decode=1914 bytes, size after decode=4423680 bytes, type=B, timestamp=0.500 seconds
frame #27: size before decode=1945 bytes, size after decode=4423680 bytes, type=B, timestamp=0.520 seconds
frame #28: size before decode=39304 bytes, size after decode=4423680 bytes, type=B, timestamp=0.540 seconds
frame #29: size before decode=3952 bytes, size after decode=4423680 bytes, type=P, timestamp=0.560 seconds
frame #30: size before decode=2785 bytes, size after decode=4423680 bytes, type=B, timestamp=0.580 seconds
frame #31: size before decode=1697 bytes, size after decode=4423680 bytes, type=B, timestamp=0.600 seconds
frame #32: size before decode=23642 bytes, size after decode=4423680 bytes, type=B, timestamp=0.620 seconds
frame #33: size before decode=3363 bytes, size after decode=4423680 bytes, type=P, timestamp=0.640 seconds
